model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2540,0,0,0.8678,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2540,1,0,0.8023,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2540,2,1,0.8566,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2540,3,0,0.8148,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3725,0,0,0.8539,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3725,1,0,0.8599,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3725,2,0,0.8636,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3725,3,0,0.7471,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3875,0,0,0.8621,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3875,1,0,0.8516,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3875,2,0,0.8527,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3875,3,0,0.8364,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5169,0,0,0.8582,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5169,1,0,0.8155,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5169,2,0,0.8436,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5169,3,0,0.8349,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5705,0,0,0.8528,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5705,1,0,0.8521,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5705,2,0,0.8632,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5705,3,0,0.8518,0.0,0.031372517347335815,50000,,,
