model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2540,0,0,0.8643,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2540,1,0,0.8172,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2540,2,1,0.8646,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2540,3,0,0.871,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3725,0,1,0.8679,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3725,1,0,0.8476,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3725,2,0,0.872,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3725,3,0,0.829,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3875,0,0,0.8539,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3875,1,0,0.8558,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3875,2,0,0.8585,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3875,3,0,0.8632,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5169,0,0,0.7807,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5169,1,0,0.815,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5169,2,1,0.869,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5169,3,0,0.8684,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5705,0,0,0.8637,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5705,1,0,0.8666,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5705,2,0,0.8632,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5705,3,0,0.8467,0.0,0.031372517347335815,50000,,,
