model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2540,0,1,0.8641,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2540,1,0,0.8196,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2540,2,0,0.8597,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2540,3,0,0.8683,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,3725,0,0,0.8656,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,3725,1,0,0.8414,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,3725,2,0,0.8652,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,3725,3,0,0.8388,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,3875,0,0,0.8493,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,3875,1,0,0.8563,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,3875,2,0,0.862,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,3875,3,0,0.8576,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,5169,0,0,0.8152,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,5169,1,0,0.8603,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,5169,2,0,0.8676,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,5169,3,0,0.8626,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,5705,0,0,0.8596,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,5705,1,0,0.8629,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,5705,2,0,0.8621,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp0.25,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,5705,3,0,0.8648,0.0,0.031372517347335815,50000,,,
