model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,2540,0,1,0.8066,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,2540,1,1,0.7688,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,2540,2,1,0.8071,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,2540,3,1,0.7961,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,3725,0,1,0.7999,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,3725,1,1,0.7997,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,3725,2,1,0.7961,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,3725,3,1,0.7998,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,5705,0,1,0.8051,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,5705,1,1,0.8102,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,5705,2,1,0.7933,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,5705,3,1,0.8067,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,7663,0,1,0.8031,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,7663,1,1,0.8039,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,7663,2,1,0.795,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,7663,3,1,0.816,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8129,0,1,0.7989,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8129,1,1,0.7999,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8129,2,1,0.7984,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8129,3,1,0.7997,0.0,0.031372517347335815,50000,,,
