model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2540,0,0,0.8659,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2540,1,0,0.8228,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2540,2,0,0.8567,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2540,3,1,0.8669,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,3725,0,0,0.8621,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,3725,1,0,0.8459,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,3725,2,0,0.8628,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,3725,3,0,0.8291,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,5705,0,0,0.8605,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,5705,1,0,0.8632,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,5705,2,0,0.8625,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,5705,3,0,0.8608,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,7663,0,0,0.8613,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,7663,1,0,0.8585,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,7663,2,0,0.8349,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,7663,3,0,0.8705,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,8129,0,0,0.8572,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,8129,1,0,0.8566,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,8129,2,0,0.8568,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,random,random,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,8129,3,0,0.8606,0.0,0.031372517347335815,50000,,,
