model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,843,0,1,0.8008,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,843,1,1,0.8011,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,843,2,1,0.8106,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,843,3,1,0.805,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,1257,0,1,0.7987,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,1257,1,1,0.8038,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,1257,2,1,0.8055,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,1257,3,1,0.796,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8055,0,1,0.807,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8055,1,1,0.7987,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8055,2,1,0.8121,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8055,3,1,0.7879,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8252,0,1,0.7995,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8252,1,1,0.8188,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8252,2,1,0.8078,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8252,3,1,0.7977,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8730,0,0,0.8054,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8730,1,1,0.8093,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8730,2,1,0.8138,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,ours,dog-bird,42,0.02,1000,0.0313725,none,none,8730,3,1,0.7998,0.0,0.031372517347335815,50000,,,
