model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,843,0,1,0.8102,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,843,1,1,0.8062,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,843,2,1,0.8006,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,843,3,1,0.8068,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,1257,0,1,0.8021,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,1257,1,1,0.8084,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,1257,2,1,0.8068,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,1257,3,1,0.7966,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,8055,0,1,0.8032,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,8055,1,1,0.7984,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,8055,2,1,0.8081,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,8055,3,1,0.7977,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,8252,0,0,0.7974,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,8252,1,1,0.819,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,8252,2,1,0.8043,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,8252,3,1,0.8002,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,8730,0,0,0.8121,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,8730,1,1,0.8183,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,8730,2,1,0.8181,0.0,0.031372517347335815,50000,,,
ConvNetBN,gradmatch,ours,dpp0.25,dog-bird,42,0.02,1000,0.0313725,none,none,8730,3,1,0.8051,0.0,0.031372517347335815,50000,,,
