model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,2315,0,0,0.8977,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,2315,1,0,0.8948,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,2315,2,0,0.895,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,2315,3,0,0.8942,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,2903,0,0,0.8958,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,2903,1,0,0.8936,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,2903,2,0,0.8922,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,2903,3,0,0.8935,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,3495,0,0,0.8963,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,3495,1,0,0.8927,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,3495,2,0,0.8992,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,3495,3,0,0.8935,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,6697,0,0,0.8961,75.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,6697,1,0,0.8943,75.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,6697,2,0,0.895,75.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,6697,3,0,0.8937,75.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,6899,0,0,0.8968,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,6899,1,0,0.8909,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,6899,2,0,0.8981,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,6899,3,0,0.8909,0.0,0.031372517347335815,50000,,,
