model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2315,0,0,0.9055,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2315,1,0,0.9047,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2315,2,0,0.9018,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2315,3,0,0.9027,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2903,0,0,0.9038,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2903,1,0,0.904,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2903,2,0,0.9004,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2903,3,0,0.9021,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,3495,0,0,0.9032,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,3495,1,0,0.9011,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,3495,2,0,0.9015,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,3495,3,0,0.9051,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,6697,0,0,0.9018,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,6697,1,0,0.9015,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,6697,2,0,0.9045,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,6697,3,1,0.9006,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,6899,0,1,0.9019,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,6899,1,0,0.905,0.0,0.031372517347335815,50000,,,
