model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,833,0,0,0.9042,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,833,1,0,0.9056,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,833,2,1,0.9012,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,833,3,0,0.9023,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2065,0,0,0.8993,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2065,1,0,0.9056,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2065,2,0,0.898,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2065,3,0,0.901,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,4630,0,1,0.9049,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,4630,1,0,0.9023,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,4630,2,1,0.9038,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,4630,3,1,0.9001,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5118,0,0,0.8995,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5118,1,1,0.9018,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5118,2,0,0.8998,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5118,3,0,0.9033,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5324,0,0,0.8999,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5324,1,0,0.9001,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5324,2,0,0.9013,0.0,0.031372517347335815,50000,,,
