model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,833,0,1,0.8392,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,833,1,0,0.8437,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,833,2,0,0.8343,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,833,3,0,0.8431,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,2065,0,1,0.8304,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,2065,1,1,0.8344,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,2065,2,1,0.8406,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,2065,3,1,0.8401,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,4630,0,0,0.8349,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,4630,1,0,0.8373,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,4630,2,1,0.8388,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,4630,3,1,0.8345,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,5118,0,1,0.837,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,5118,1,1,0.8389,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,5118,2,1,0.8398,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,5118,3,1,0.8397,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,5324,0,0,0.8453,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,5324,1,1,0.8395,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,5324,2,0,0.8427,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,ours,dog-bird,42,0.002,100,0.0313725,none,none,5324,3,0,0.8313,0.0,0.031372517347335815,50000,,,
