model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,833,0,0,0.9041,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,833,1,0,0.904,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,833,2,0,0.9017,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,833,3,0,0.9098,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2065,0,0,0.8998,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2065,1,0,0.9048,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2065,2,0,0.9022,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2065,3,0,0.9035,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,4630,0,0,0.9024,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,4630,1,0,0.8965,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,4630,2,0,0.9008,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,4630,3,0,0.901,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5118,0,1,0.8955,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5118,1,0,0.8996,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5118,2,0,0.903,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5118,3,0,0.8988,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5324,0,0,0.9025,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5324,1,0,0.904,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,5324,2,0,0.9021,0.0,0.031372517347335815,50000,,,
