model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,833,0,1,0.8955,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,833,1,0,0.8898,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,833,2,0,0.8963,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,833,3,1,0.8953,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2065,0,1,0.8917,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2065,1,0,0.8921,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2065,2,0,0.8956,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2065,3,1,0.8992,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,4630,0,1,0.895,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,4630,1,0,0.8936,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,4630,2,1,0.8984,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,4630,3,1,0.8954,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5118,0,1,0.8934,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5118,1,1,0.8954,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5118,2,1,0.8989,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5118,3,1,0.8956,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5324,0,0,0.896,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5324,1,1,0.8973,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5324,2,0,0.9006,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5324,3,0,0.8979,0.0,0.031372517347335815,50000,,,
