model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,833,0,1,0.8405,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,833,1,1,0.8405,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,833,2,1,0.8334,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,833,3,1,0.8357,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,4630,0,1,0.8381,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,4630,1,1,0.8327,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,4630,2,1,0.8359,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,4630,3,1,0.8357,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,5118,0,1,0.8416,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,5118,1,1,0.8397,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,5118,2,1,0.8343,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,5118,3,1,0.8366,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,5324,0,1,0.8393,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,5324,1,1,0.8377,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,5324,2,1,0.8437,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,5324,3,1,0.8341,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,8740,0,1,0.8433,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,8740,1,1,0.83,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,8740,2,1,0.8348,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none,none,8740,3,1,0.8423,0.0,0.031372517347335815,50000,,,
