model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,833,0,1,0.9015,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,833,1,1,0.8981,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,833,2,0,0.8985,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,833,3,1,0.9019,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,4630,0,1,0.9027,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,4630,1,0,0.8973,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,4630,2,1,0.9036,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,4630,3,1,0.901,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,5118,0,1,0.8975,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,5118,1,1,0.8974,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,5118,2,1,0.897,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,5118,3,1,0.8978,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,5324,0,1,0.8954,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,5324,1,1,0.8975,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,5324,2,0,0.9013,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,5324,3,1,0.8982,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,8740,0,0,0.9001,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,8740,1,0,0.8975,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,8740,2,0,0.9006,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none+aug-cutout,cutout,8740,3,0,0.8987,0.0,0.031372517347335815,50000,,,
