model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,833,0,1,0.8949,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,833,1,1,0.8984,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,833,2,1,0.8959,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,833,3,1,0.8957,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,4630,0,1,0.8991,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,4630,1,1,0.8955,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,4630,2,1,0.897,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,4630,3,1,0.8939,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5118,0,1,0.8957,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5118,1,0,0.896,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5118,2,1,0.8945,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5118,3,1,0.8966,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5324,0,1,0.8989,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5324,1,1,0.898,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5324,2,1,0.8949,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5324,3,1,0.8942,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,8740,0,0,0.8937,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,8740,1,0,0.8983,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,8740,2,1,0.9004,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,8740,3,0,0.8932,0.0,0.031372517347335815,50000,,,
