model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,833,0,0,0.901,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,833,1,1,0.9071,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,833,2,0,0.9043,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,833,3,0,0.9001,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,4630,0,1,0.9071,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,4630,1,1,0.9048,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,4630,2,0,0.9041,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,4630,3,1,0.9,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,5118,0,1,0.9,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,5118,1,1,0.8967,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,5118,2,0,0.9022,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,5118,3,1,0.903,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,5324,0,1,0.9008,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,5324,1,1,0.8985,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,5324,2,1,0.8989,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,5324,3,0,0.9073,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,8740,0,0,0.9012,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,8740,1,1,0.8998,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,8740,2,0,0.8999,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,dpp0.1,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,8740,3,1,0.9014,0.0,0.031372517347335815,50000,,,
