model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2127,0,0,0.9221,0.0,0.031372517347335815,50000,,,
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2127,1,0,0.9044,0.0,0.031372517347335815,50000,,,
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2127,2,1,0.9008,0.0,0.031372517347335815,50000,,,
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2127,3,0,0.9236,0.0,0.031372517347335815,50000,,,
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2171,0,0,0.914,0.0,0.031372517347335815,50000,,,
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2171,1,0,0.9047,0.0,0.031372517347335815,50000,,,
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2171,2,0,0.9075,0.0,0.031372517347335815,50000,,,
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2171,3,0,0.9039,0.0,0.031372517347335815,50000,,,
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2597,0,0,0.917,0.0,0.031372517347335815,50000,,,
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2597,1,0,0.9143,0.0,0.031372517347335815,50000,,,
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2597,2,0,0.903,0.0,0.031372517347335815,50000,,,
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2597,3,0,0.913,0.0,0.031372517347335815,50000,,,
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3728,0,0,0.9103,0.0,0.031372517347335815,50000,,,
VGG13BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3728,1,0,0.9078,0.0,0.031372517347335815,50000,,,
