model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,409,0,1,0.9217,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,409,1,1,0.9201,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,409,2,1,0.9137,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,409,3,0,0.9141,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,630,0,0,0.9109,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,630,1,0,0.9185,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,630,2,0,0.9108,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,630,3,1,0.918,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,1656,0,1,0.9167,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,1656,1,0,0.9191,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,1656,2,0,0.9099,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,1656,3,1,0.9172,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,2270,0,1,0.9108,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,2270,1,1,0.9145,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,2270,2,1,0.9096,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,2270,3,1,0.9021,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,9870,0,0,0.9145,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,9870,1,0,0.8984,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,9870,2,0,0.8982,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,ours,dog-bird,42,0.005,250,0.0313725,none+aug-randaug,randaug,9870,3,0,0.9063,0.0,0.031372517347335815,50000,,,
