model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,409,0,1,0.8539,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,409,1,1,0.8599,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,409,2,1,0.86,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,409,3,1,0.8484,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,630,0,1,0.8557,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,630,1,1,0.8409,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,630,2,1,0.8515,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,630,3,1,0.8598,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,1656,0,1,0.8521,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,1656,1,1,0.8588,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,1656,2,1,0.8529,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,1656,3,1,0.8619,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,2270,0,1,0.8605,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,2270,1,1,0.8407,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,2270,2,1,0.8434,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,2270,3,1,0.842,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,9870,0,1,0.8532,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,9870,1,1,0.8438,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,9870,2,1,0.8534,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.005,250,0.0313725,none,none,9870,3,1,0.8485,0.0,0.031372517347335815,50000,,,
