model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,409,0,1,0.9117,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,409,1,1,0.9199,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,409,2,1,0.9082,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,409,3,1,0.9131,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,630,0,0,0.9125,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,630,1,0,0.9135,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,630,2,1,0.9169,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,630,3,1,0.905,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,1656,0,1,0.9103,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,1656,1,1,0.9158,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,1656,2,1,0.9094,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,1656,3,1,0.9176,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2270,0,1,0.9113,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2270,1,1,0.9111,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2270,2,1,0.9128,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2270,3,1,0.9135,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,9870,0,0,0.9155,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,9870,1,0,0.906,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,9870,2,0,0.9062,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,9870,3,0,0.9118,0.0,0.031372517347335815,50000,,,
