model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,409,0,0,0.9014,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,409,1,0,0.9035,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,409,2,1,0.9038,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,409,3,1,0.9047,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,630,0,0,0.9081,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,630,1,0,0.9005,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,630,2,0,0.9116,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,630,3,0,0.8978,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,1656,0,0,0.9072,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,1656,1,0,0.8999,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,1656,2,0,0.9019,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,1656,3,0,0.9081,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,2270,0,1,0.9077,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,2270,1,1,0.9016,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,2270,2,0,0.9012,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,2270,3,1,0.8974,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,9870,0,0,0.9062,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,9870,1,0,0.9096,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,9870,2,0,0.8986,0.0,0.031372517347335815,50000,,,
VGG13BN,gradmatch,random,random,dog-bird,42,0.005,250,0.0313725,none+aug-standard,standard,9870,3,0,0.903,0.0,0.031372517347335815,50000,,,
