model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,409,0,1,0.8637,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,409,1,1,0.8563,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,409,2,1,0.8637,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,409,3,1,0.8592,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,630,0,1,0.859,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,630,1,1,0.8546,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,630,2,1,0.8594,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,630,3,1,0.8613,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,1656,0,1,0.8566,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,1656,1,1,0.8514,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,1656,2,1,0.8532,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,1656,3,1,0.8618,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,2270,0,1,0.8585,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,2270,1,1,0.8494,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,2270,2,1,0.8552,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,2270,3,1,0.8379,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,9870,0,1,0.8593,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,9870,1,1,0.8363,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,9870,2,1,0.844,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp0.25,dog-bird,42,0.01,500,0.0313725,none,none,9870,3,1,0.8466,0.0,0.031372517347335815,50000,,,
