model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,0,1,0.843,16.666666666666668,0.01380282361060381,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,1,0,0.8309,16.666666666666668,0.01380282361060381,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,2,1,0.8401,16.666666666666668,0.01380282361060381,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,3,1,0.8343,16.666666666666668,0.01380282361060381,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,4,0,0.8305,16.666666666666668,0.01380282361060381,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,5,1,0.8328,16.666666666666668,0.01380282361060381,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,0,0,0.8289,0.0,0.01995525322854519,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,1,0,0.8406,0.0,0.01995525322854519,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,2,1,0.833,0.0,0.01995525322854519,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,3,0,0.8353,0.0,0.01995525322854519,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,4,0,0.8418,0.0,0.01995525322854519,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,5,1,0.8357,0.0,0.01995525322854519,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,0,1,0.8404,0.0,0.01688617840409279,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,1,0,0.8451,0.0,0.01688617840409279,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,2,0,0.8378,0.0,0.01688617840409279,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,3,0,0.8351,0.0,0.01688617840409279,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,4,0,0.8439,0.0,0.01688617840409279,0.031372517347335815
