model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,0,0,0.8393,16.666666666666668,0.014959669671952724,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,1,0,0.8381,16.666666666666668,0.014959669671952724,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,2,0,0.8365,16.666666666666668,0.014959669671952724,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,3,1,0.8368,16.666666666666668,0.014959669671952724,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,4,1,0.8375,16.666666666666668,0.014959669671952724,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,5,0,0.8306,16.666666666666668,0.014959669671952724,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,0,1,0.8411,0.0,0.022625049576163292,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,1,0,0.8421,0.0,0.022625049576163292,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,2,0,0.8358,0.0,0.022625049576163292,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,3,0,0.8391,0.0,0.022625049576163292,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,4,0,0.838,0.0,0.022625049576163292,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,5,1,0.8425,0.0,0.022625049576163292,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,0,0,0.8371,0.0,0.019018732011318207,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,1,0,0.8455,0.0,0.019018732011318207,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,2,0,0.8372,0.0,0.019018732011318207,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,3,1,0.8366,0.0,0.019018732011318207,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,4,0,0.8446,0.0,0.019018732011318207,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,5,0,0.8413,0.0,0.019018732011318207,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.19764959812164307,0,0,0.8352,16.666666666666668,0.020829705521464348,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.19764959812164307,1,0,0.8393,16.666666666666668,0.020829705521464348,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.19764959812164307,2,0,0.8381,16.666666666666668,0.020829705521464348,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.19764959812164307,3,0,0.8396,16.666666666666668,0.020829705521464348,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.19764959812164307,4,0,0.8391,16.666666666666668,0.020829705521464348,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.19764959812164307,5,0,0.8359,16.666666666666668,0.020829705521464348,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.3564381003379822,0,1,0.8386,33.333333333333336,0.018660973757505417,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.3564381003379822,1,0,0.8394,33.333333333333336,0.018660973757505417,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.3564381003379822,2,1,0.8366,33.333333333333336,0.018660973757505417,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.3564381003379822,3,1,0.8358,33.333333333333336,0.018660973757505417,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.3564381003379822,4,0,0.8414,33.333333333333336,0.018660973757505417,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.3564381003379822,5,1,0.8375,33.333333333333336,0.018660973757505417,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2312,0.1633296012878418,0,0,0.8419,16.666666666666668,0.01785636506974697,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2312,0.1633296012878418,1,0,0.833,16.666666666666668,0.01785636506974697,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2312,0.1633296012878418,2,0,0.8392,16.666666666666668,0.01785636506974697,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2312,0.1633296012878418,3,0,0.8346,16.666666666666668,0.01785636506974697,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2312,0.1633296012878418,4,0,0.8426,16.666666666666668,0.01785636506974697,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2312,0.1633296012878418,5,0,0.8442,16.666666666666668,0.01785636506974697,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6353,0.04543377086520195,0,0,0.8385,0.0,0.024095017462968826,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6353,0.04543377086520195,1,0,0.8259,0.0,0.024095017462968826,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6353,0.04543377086520195,2,0,0.84,0.0,0.024095017462968826,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6353,0.04543377086520195,3,0,0.8394,0.0,0.024095017462968826,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6353,0.04543377086520195,4,0,0.8387,0.0,0.024095017462968826,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6353,0.04543377086520195,5,0,0.8289,0.0,0.024095017462968826,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4421,0.00011626092600636184,0,0,0.8402,0.0,0.022086327895522118,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4421,0.00011626092600636184,1,0,0.8352,0.0,0.022086327895522118,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4421,0.00011626092600636184,2,0,0.8305,0.0,0.022086327895522118,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4421,0.00011626092600636184,3,0,0.8432,0.0,0.022086327895522118,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4421,0.00011626092600636184,4,0,0.8416,0.0,0.022086327895522118,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4421,0.00011626092600636184,5,0,0.8383,0.0,0.022086327895522118,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2242,0.00045365624828264117,0,0,0.8365,0.0,0.019287334755063057,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2242,0.00045365624828264117,1,0,0.8438,0.0,0.019287334755063057,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2242,0.00045365624828264117,2,0,0.8345,0.0,0.019287334755063057,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2242,0.00045365624828264117,3,0,0.8367,0.0,0.019287334755063057,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2242,0.00045365624828264117,4,0,0.8403,0.0,0.019287334755063057,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2242,0.00045365624828264117,5,0,0.8359,0.0,0.019287334755063057,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6768,0.17461137473583221,0,1,0.8406,16.666666666666668,0.017512613907456398,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6768,0.17461137473583221,1,0,0.8345,16.666666666666668,0.017512613907456398,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6768,0.17461137473583221,2,1,0.8365,16.666666666666668,0.017512613907456398,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6768,0.17461137473583221,3,0,0.8394,16.666666666666668,0.017512613907456398,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6768,0.17461137473583221,4,0,0.837,16.666666666666668,0.017512613907456398,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6768,0.17461137473583221,5,0,0.8364,16.666666666666668,0.017512613907456398,0.031372517347335815
