model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,843,6.162005092846812e-07,0,0,0.8107,0.0,0.3220677077770233,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,843,6.162005092846812e-07,1,1,0.8056,0.0,0.3220677077770233,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,843,6.162005092846812e-07,2,0,0.8083,0.0,0.3220677077770233,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,843,6.162005092846812e-07,3,0,0.8074,0.0,0.3220677077770233,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,843,6.162005092846812e-07,4,0,0.8018,0.0,0.3220677077770233,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,843,6.162005092846812e-07,5,0,0.7851,0.0,0.3220677077770233,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1257,4.158540178877956e-09,0,0,0.7945,0.0,0.29104548692703247,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1257,4.158540178877956e-09,1,1,0.8073,0.0,0.29104548692703247,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1257,4.158540178877956e-09,2,0,0.8174,0.0,0.29104548692703247,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1257,4.158540178877956e-09,3,0,0.8032,0.0,0.29104548692703247,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1257,4.158540178877956e-09,4,0,0.8011,0.0,0.29104548692703247,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1257,4.158540178877956e-09,5,0,0.7977,0.0,0.29104548692703247,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,1.966435320355231e-06,0,0,0.7988,0.0,0.2353752702474594,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,1.966435320355231e-06,1,1,0.8165,0.0,0.2353752702474594,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,1.966435320355231e-06,2,1,0.7995,0.0,0.2353752702474594,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,1.966435320355231e-06,3,1,0.792,0.0,0.2353752702474594,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,1.966435320355231e-06,4,0,0.7877,0.0,0.2353752702474594,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,1.966435320355231e-06,5,1,0.8064,0.0,0.2353752702474594,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8730,1.1108816977412062e-08,0,0,0.8059,0.0,0.2576380670070648,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8730,1.1108816977412062e-08,1,0,0.8105,0.0,0.2576380670070648,0.031372517347335815
