model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,630,1.7128139688793453e-06,0,1,0.8595,0.0,0.29424363374710083,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,630,1.7128139688793453e-06,1,1,0.8447,0.0,0.29424363374710083,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,630,1.7128139688793453e-06,2,1,0.8545,0.0,0.29424363374710083,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,630,1.7128139688793453e-06,3,1,0.8484,0.0,0.29424363374710083,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,630,1.7128139688793453e-06,4,1,0.8553,0.0,0.29424363374710083,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,630,1.7128139688793453e-06,5,0,0.8585,0.0,0.29424363374710083,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,409,1.6556268747081049e-06,0,0,0.8562,0.0,0.26344863176345823,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,409,1.6556268747081049e-06,1,1,0.8529,0.0,0.26344863176345823,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,409,1.6556268747081049e-06,2,0,0.8611,0.0,0.26344863176345823,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,409,1.6556268747081049e-06,3,0,0.8503,0.0,0.26344863176345823,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,409,1.6556268747081049e-06,4,1,0.8607,0.0,0.26344863176345823,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,409,1.6556268747081049e-06,5,0,0.8442,0.0,0.26344863176345823,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,2270,1.5969494597811718e-06,0,0,0.863,0.0,0.297287118434906,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,2270,1.5969494597811718e-06,1,1,0.8529,0.0,0.297287118434906,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,2270,1.5969494597811718e-06,2,0,0.8401,0.0,0.297287118434906,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,2270,1.5969494597811718e-06,3,1,0.8582,0.0,0.297287118434906,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,2270,1.5969494597811718e-06,4,1,0.8482,0.0,0.297287118434906,0.031372517347335815
