model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2540,0,1,0.863,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2540,1,0,0.8305,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2540,2,0,0.8598,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2540,3,0,0.8694,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2540,4,1,0.8262,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,2540,5,0,0.8561,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3725,0,0,0.8673,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3725,1,0,0.8489,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3725,2,0,0.8691,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3725,3,0,0.8417,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3875,0,0,0.8549,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3875,1,0,0.8555,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3875,2,0,0.865,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,3875,3,0,0.858,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5169,0,0,0.7921,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5169,1,0,0.8247,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5169,2,0,0.8675,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5169,3,0,0.8642,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5705,0,0,0.86,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5705,1,0,0.8725,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5705,2,0,0.8567,0.0,0.031372517347335815,50000,,,
ConvNetBN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-standard,standard,5705,3,0,0.8495,0.0,0.031372517347335815,50000,,,
