model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2242,0,0,0.9007,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2242,1,0,0.9012,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2242,2,0,0.8998,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2242,3,0,0.8996,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2312,0,0,0.9001,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2312,1,0,0.9015,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2312,2,0,0.8984,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2312,3,0,0.8991,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2315,0,0,0.9016,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2315,1,0,0.8986,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2315,2,0,0.8987,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2315,3,0,0.8976,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2903,0,0,0.9068,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2903,1,0,0.9018,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2903,2,0,0.899,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,2903,3,0,0.9046,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,3495,0,0,0.8964,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,3495,1,0,0.8963,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,3495,2,0,0.899,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,100,0.0313725,none+aug-cutout,cutout,3495,3,0,0.903,0.0,0.031372517347335815,50000,,,
