model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2242,0,0,0.9007,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2242,1,0,0.9039,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2242,2,0,0.8998,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2242,3,0,0.9015,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2312,0,0,0.8993,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2312,1,0,0.9013,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2312,2,0,0.9016,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2312,3,0,0.902,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2315,0,0,0.8984,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2315,1,0,0.9027,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2315,2,0,0.9036,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2315,3,0,0.903,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2903,0,0,0.9048,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2903,1,0,0.9053,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2903,2,0,0.9019,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,2903,3,0,0.901,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3495,0,0,0.902,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3495,1,0,0.9051,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3495,2,0,0.8979,0.0,0.031372517347335815,50000,,,
ResNet20BN,fc,random,random,dog-bird,42,0.002,100,0.0313725,none+aug-randaug,randaug,3495,3,0,0.904,0.0,0.031372517347335815,50000,,,
