model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,833,0,1,0.8182,0.0,0.031372517347335815,19597,21,0.79,0.6076953907815632
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,833,1,1,0.8199,0.0,0.031372517347335815,20321,36,0.64,0.5934869739478958
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,833,2,0,0.7896,0.0,0.031372517347335815,13182,8,0.92,0.7359919839679359
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,833,3,1,0.8161,0.0,0.031372517347335815,16644,21,0.79,0.66687374749499
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,2065,0,0,0.8161,0.0,0.031372517347335815,16770,12,0.88,0.6641683366733466
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,2065,1,0,0.7747,0.0,0.031372517347335815,13210,4,0.96,0.7353507014028056
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,2065,2,1,0.8291,0.0,0.031372517347335815,20938,11,0.89,0.5806212424849699
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,2065,3,1,0.7885,0.0,0.031372517347335815,9226,3,0.97,0.8151703406813627
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,4630,0,1,0.8273,0.0,0.031372517347335815,19743,14,0.86,0.6046292585170341
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,4630,1,1,0.7961,0.0,0.031372517347335815,12389,11,0.89,0.7519438877755511
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,4630,2,0,0.8206,0.0,0.031372517347335815,19231,16,0.84,0.6149298597194388
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,4630,3,0,0.8206,0.0,0.031372517347335815,20269,25,0.75,0.5943086172344689
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,5118,0,1,0.7874,0.0,0.031372517347335815,12113,11,0.89,0.7574749498997996
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,5118,1,0,0.8058,0.0,0.031372517347335815,13370,9,0.91,0.7322444889779559
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,5118,2,0,0.8201,0.0,0.031372517347335815,20331,25,0.75,0.593066132264529
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,5118,3,0,0.8335,0.0,0.031372517347335815,20057,16,0.84,0.598376753507014
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,5324,0,0,0.7982,0.0,0.031372517347335815,19626,48,0.52,0.6076553106212426
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,5324,1,0,0.7136,0.0,0.031372517347335815,5368,8,0.92,0.8925851703406814
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,5324,2,0,0.7558,0.0,0.031372517347335815,5512,4,0.96,0.8896192384769539
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,5324,3,0,0.814,0.0,0.031372517347335815,18284,30,0.7,0.634188376753507
