model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,833,0,1,0.8993,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,833,1,1,0.8998,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,833,2,1,0.8991,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,833,3,1,0.8981,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2065,0,0,0.8972,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2065,1,0,0.8966,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2065,2,0,0.8945,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2065,3,0,0.8985,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,4630,0,1,0.8957,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,4630,1,1,0.8959,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,4630,2,1,0.8968,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,4630,3,1,0.8965,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,5118,0,1,0.8965,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,5118,1,0,0.8959,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,5118,2,1,0.8944,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,5118,3,0,0.8929,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,5324,0,1,0.8894,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,5324,1,1,0.9,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,5324,2,1,0.8989,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,1000,0.0313725,none+aug-cutout,cutout,5324,3,1,0.8939,0.0,0.031372517347335815,50000,,,
