model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,255,0,0,0.8194,0.0,0.031372517347335815,17681,18,0.8200000000000001,0.6460320641282565
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,255,1,0,0.8222,0.0,0.031372517347335815,19073,26,0.74,0.6182965931863728
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,255,2,0,0.8126,0.0,0.031372517347335815,16123,21,0.79,0.677314629258517
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,255,3,0,0.8217,0.0,0.031372517347335815,17683,21,0.79,0.6460521042084169
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,338,0,0,0.8148,0.0,0.031372517347335815,19055,29,0.71,0.6187174348697395
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,338,1,0,0.8121,0.0,0.031372517347335815,16412,29,0.71,0.671683366733467
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,338,2,0,0.8008,0.0,0.031372517347335815,14967,21,0.79,0.7004809619238477
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,338,3,0,0.7831,0.0,0.031372517347335815,11030,16,0.84,0.7792785571142284
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,912,0,0,0.7808,25.0,0.031372517347335815,14117,12,0.88,0.7173346693386773
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,912,1,0,0.8243,25.0,0.031372517347335815,18495,28,0.72,0.6299198396793587
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,912,2,0,0.8218,25.0,0.031372517347335815,20027,27,0.73,0.5991983967935872
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,912,3,0,0.8229,25.0,0.031372517347335815,19991,31,0.69,0.6
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,2041,0,1,0.8248,0.0,0.031372517347335815,18922,29,0.71,0.6213827655310622
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,2041,1,0,0.8264,0.0,0.031372517347335815,20417,30,0.7,0.591442885771543
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,2041,2,0,0.8246,0.0,0.031372517347335815,19632,27,0.73,0.6071142284569138
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,2041,3,0,0.7942,0.0,0.031372517347335815,12641,18,0.8200000000000001,0.7470340681362726
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,2570,0,0,0.822,0.0,0.031372517347335815,19989,33,0.6699999999999999,0.6000801603206413
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,2570,1,0,0.819,0.0,0.031372517347335815,19821,27,0.73,0.6033266533066133
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,2570,2,0,0.7504,0.0,0.031372517347335815,15929,26,0.74,0.6813026052104209
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,100,0.0313725,epic-s0.1-f2-d10,none,2570,3,0,0.7697,0.0,0.031372517347335815,9467,15,0.85,0.8105811623246493
