model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,255,0,0,0.7472,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,255,1,0,0.7327,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,255,2,0,0.7476,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,255,3,0,0.7521,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,338,0,0,0.7386,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,338,1,0,0.7458,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,338,2,1,0.7561,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,338,3,0,0.7343,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,912,0,1,0.7466,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,912,1,0,0.7351,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,912,2,0,0.7543,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,912,3,0,0.7387,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,2041,0,0,0.7391,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,friends-friendly.bernoulli-e8-p5-clp16,none,2041,1,1,0.7425,0.0,0.031372517347335815,50000,,,
