model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,255,0,0,0.8937,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,255,1,0,0.8909,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,255,2,0,0.8911,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,255,3,0,0.8932,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,338,0,0,0.8962,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,338,1,0,0.8966,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,338,2,0,0.8935,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,338,3,0,0.8917,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,912,0,0,0.8943,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,912,1,0,0.891,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,912,2,0,0.894,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,912,3,0,0.8949,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2041,0,0,0.9018,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2041,1,0,0.8955,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2041,2,0,0.8899,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2041,3,0,0.8957,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2570,0,0,0.8936,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2570,1,0,0.8946,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2570,2,0,0.9005,0.0,0.031372517347335815,50000,,,
ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,1000,0.0313725,none+aug-cutout,cutout,2570,3,0,0.8952,0.0,0.031372517347335815,50000,,,
