model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,833,0,1,0.8294,0.0,0.031372517347335815,19734,758,0.242,0.6127346938775511
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,833,1,0,0.8229,0.0,0.031372517347335815,20564,761,0.239,0.5958571428571429
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,833,2,0,0.7383,0.0,0.031372517347335815,5558,388,0.612,0.8944897959183673
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,833,3,0,0.8141,0.0,0.031372517347335815,17569,704,0.29600000000000004,0.6558163265306123
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,2065,0,1,0.7941,0.0,0.031372517347335815,14284,663,0.33699999999999997,0.7220204081632653
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,2065,1,1,0.7897,0.0,0.031372517347335815,12406,581,0.41900000000000004,0.758673469387755
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,2065,2,1,0.8247,0.0,0.031372517347335815,19840,749,0.251,0.6103877551020408
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,2065,3,1,0.8116,0.0,0.031372517347335815,19109,769,0.23099999999999998,0.6257142857142857
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,4630,0,1,0.8271,0.0,0.031372517347335815,20329,774,0.22599999999999998,0.6009183673469387
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,4630,1,1,0.7881,0.0,0.031372517347335815,14257,646,0.354,0.7222244897959184
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,4630,2,1,0.827,0.0,0.031372517347335815,20146,742,0.258,0.604
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,4630,3,1,0.7775,0.0,0.031372517347335815,11310,587,0.41300000000000003,0.7811632653061225
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,5118,0,1,0.822,0.0,0.031372517347335815,19965,789,0.21099999999999997,0.6086530612244898
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,5118,1,1,0.8086,0.0,0.031372517347335815,14796,713,0.28700000000000003,0.712591836734694
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,5118,2,0,0.8251,0.0,0.031372517347335815,20397,794,0.20599999999999996,0.5999387755102041
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,5118,3,0,0.8029,0.0,0.031372517347335815,16031,686,0.31399999999999995,0.6868367346938775
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,5324,0,0,0.7789,0.0,0.031372517347335815,10387,608,0.392,0.8004285714285715
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,5324,1,0,0.7804,0.0,0.031372517347335815,11532,623,0.377,0.7773673469387755
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,5324,2,0,0.7738,0.0,0.031372517347335815,10975,595,0.405,0.7881632653061225
ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,1000,0.0313725,epic-s0.1-f2-d10,none,5324,3,0,0.8165,0.0,0.031372517347335815,19908,778,0.22199999999999998,0.6095918367346939
