model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,843,6.162005092846812e-07,0,0,0.8089,0.0,0.2945316731929779,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,843,6.162005092846812e-07,1,1,0.8025,0.0,0.2945316731929779,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,843,6.162005092846812e-07,2,1,0.8069,0.0,0.2945316731929779,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,843,6.162005092846812e-07,3,0,0.8173,0.0,0.2945316731929779,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,843,6.162005092846812e-07,4,0,0.8001,0.0,0.2945316731929779,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,843,6.162005092846812e-07,5,0,0.7895,0.0,0.2945316731929779,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,1257,4.158540178877956e-09,0,0,0.7922,0.0,0.26534539461135864,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,1257,4.158540178877956e-09,1,0,0.8106,0.0,0.26534539461135864,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,1257,4.158540178877956e-09,2,1,0.8138,0.0,0.26534539461135864,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,1257,4.158540178877956e-09,3,0,0.804,0.0,0.26534539461135864,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,1257,4.158540178877956e-09,4,0,0.7992,0.0,0.26534539461135864,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,1257,4.158540178877956e-09,5,0,0.794,0.0,0.26534539461135864,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8252,1.966435320355231e-06,0,1,0.8018,0.0,0.22299852967262268,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8252,1.966435320355231e-06,1,1,0.8147,0.0,0.22299852967262268,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8252,1.966435320355231e-06,2,1,0.8067,0.0,0.22299852967262268,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8252,1.966435320355231e-06,3,1,0.7906,0.0,0.22299852967262268,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8252,1.966435320355231e-06,4,0,0.7958,0.0,0.22299852967262268,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8252,1.966435320355231e-06,5,1,0.8081,0.0,0.22299852967262268,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8730,1.1108816977412062e-08,0,0,0.8063,0.0,0.2544930577278137,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8730,1.1108816977412062e-08,1,0,0.8153,0.0,0.2544930577278137,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8730,1.1108816977412062e-08,2,0,0.8138,0.0,0.2544930577278137,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8730,1.1108816977412062e-08,3,0,0.8023,0.0,0.2544930577278137,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8730,1.1108816977412062e-08,4,1,0.8026,0.0,0.2544930577278137,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8730,1.1108816977412062e-08,5,0,0.8055,0.0,0.2544930577278137,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8055,8.114966476568952e-09,0,0,0.8151,0.0,0.26841112971305847,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8055,8.114966476568952e-09,1,1,0.8052,0.0,0.26841112971305847,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8055,8.114966476568952e-09,2,1,0.8157,0.0,0.26841112971305847,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8055,8.114966476568952e-09,3,0,0.793,0.0,0.26841112971305847,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8055,8.114966476568952e-09,4,1,0.8142,0.0,0.26841112971305847,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8055,8.114966476568952e-09,5,1,0.803,0.0,0.26841112971305847,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5859,2.4052968683463405e-07,0,0,0.8039,0.0,0.24966059625148773,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5859,2.4052968683463405e-07,1,1,0.8067,0.0,0.24966059625148773,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5859,2.4052968683463405e-07,2,0,0.8085,0.0,0.24966059625148773,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5859,2.4052968683463405e-07,3,1,0.797,0.0,0.24966059625148773,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5859,2.4052968683463405e-07,4,1,0.8005,0.0,0.24966059625148773,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5859,2.4052968683463405e-07,5,1,0.789,0.0,0.24966059625148773,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.002,100,0.0313725,8954,3.002585202693808e-08,0,1,0.7978,0.0,0.2068587839603424,0.031372517347335815
