model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,4167,7.86364202920442e-12,0,0,0.5796,0.0,0.14469856023788452,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,4167,7.86364202920442e-12,1,0,0.5845,0.0,0.14469856023788452,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,4167,7.86364202920442e-12,2,0,0.5781,0.0,0.14469856023788452,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,4167,7.86364202920442e-12,3,0,0.5699,0.0,0.14469856023788452,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,9210,1.41337323653545e-14,0,0,0.5861,0.0,0.18983234465122223,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,9210,1.41337323653545e-14,1,0,0.5643,0.0,0.18983234465122223,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,9210,1.41337323653545e-14,2,0,0.589,0.0,0.18983234465122223,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,9210,1.41337323653545e-14,3,0,0.5635,0.0,0.18983234465122223,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,5660,4.847842505033284e-13,0,0,0.5966,0.0,0.14800848066806793,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,5660,4.847842505033284e-13,1,0,0.5837,0.0,0.14800848066806793,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,5660,4.847842505033284e-13,2,0,0.5599,0.0,0.14800848066806793,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,5660,4.847842505033284e-13,3,0,0.6047,0.0,0.14800848066806793,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,9923,1.3993127837008679e-11,0,0,0.5966,0.0,0.18650443851947784,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,9923,1.3993127837008679e-11,1,0,0.5865,0.0,0.18650443851947784,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,9923,1.3993127837008679e-11,2,0,0.5811,0.0,0.18650443851947784,0.031372517347335815
ResNet18BN,fc,ours,bottle-road,42,0.002,100,0.0313725,9923,1.3993127837008679e-11,3,0,0.5506,0.0,0.18650443851947784,0.031372517347335815
