model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,3576,6.468959482669456e-13,0,0,0.5657,0.0,0.18216612935066223,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,3576,6.468959482669456e-13,1,0,0.5579,0.0,0.18216612935066223,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,3576,6.468959482669456e-13,2,0,0.5757,0.0,0.18216612935066223,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,3576,6.468959482669456e-13,3,0,0.5675,0.0,0.18216612935066223,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,9581,2.3110451052854586e-11,0,0,0.5927,0.0,0.0993286594748497,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,9581,2.3110451052854586e-11,1,1,0.5848,0.0,0.0993286594748497,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,9581,2.3110451052854586e-11,2,0,0.569,0.0,0.0993286594748497,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,9581,2.3110451052854586e-11,3,0,0.5694,0.0,0.0993286594748497,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,5222,5.026313809608496e-10,0,0,0.5832,0.0,0.1190701276063919,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,5222,5.026313809608496e-10,1,0,0.5572,0.0,0.1190701276063919,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,5222,5.026313809608496e-10,2,0,0.5848,0.0,0.1190701276063919,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,5222,5.026313809608496e-10,3,0,0.5796,0.0,0.1190701276063919,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,9746,1.2569965901487734e-10,0,0,0.5832,0.0,0.21038149297237396,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,9746,1.2569965901487734e-10,1,0,0.5773,0.0,0.21038149297237396,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,9746,1.2569965901487734e-10,2,0,0.5639,0.0,0.21038149297237396,0.031372517347335815
ResNet18BN,fc,ours,wardrobe-lawn_mower,42,0.002,100,0.0313725,9746,1.2569965901487734e-10,3,0,0.5811,0.0,0.21038149297237396,0.031372517347335815
