model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,3818,5.166973099379746e-11,0,1,0.5706,0.0,0.291115939617157,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,3818,5.166973099379746e-11,1,1,0.5704,0.0,0.291115939617157,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,3818,5.166973099379746e-11,2,0,0.5516,0.0,0.291115939617157,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,3818,5.166973099379746e-11,3,1,0.5422,0.0,0.291115939617157,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,9643,5.982186968012115e-10,0,1,0.5765,0.0,0.30338367223739626,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,9643,5.982186968012115e-10,1,1,0.5849,0.0,0.30338367223739626,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,9643,5.982186968012115e-10,2,1,0.5934,0.0,0.30338367223739626,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,9643,5.982186968012115e-10,3,1,0.5613,0.0,0.30338367223739626,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,6367,1.543876470927691e-15,0,1,0.5806,0.0,0.20535242557525635,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,6367,1.543876470927691e-15,1,1,0.5636,0.0,0.20535242557525635,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,6367,1.543876470927691e-15,2,1,0.5707,0.0,0.20535242557525635,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,6367,1.543876470927691e-15,3,1,0.5825,0.0,0.20535242557525635,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,9785,2.440743733424927e-13,0,1,0.5919,0.0,0.25082128047943114,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,9785,2.440743733424927e-13,1,1,0.5872,0.0,0.25082128047943114,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,9785,2.440743733424927e-13,2,1,0.5749,0.0,0.25082128047943114,0.031372517347335815
ResNet18BN,gradmatch,random,sea-willow_tree,42,0.005,250,0.0313725,9785,2.440743733424927e-13,3,1,0.5931,0.0,0.25082128047943114,0.031372517347335815
