model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,3818,5.166973099379746e-11,0,1,0.5771,0.0,0.3286230266094208,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,3818,5.166973099379746e-11,1,0,0.5874,0.0,0.3286230266094208,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,3818,5.166973099379746e-11,2,0,0.5867,0.0,0.3286230266094208,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,3818,5.166973099379746e-11,3,0,0.5893,0.0,0.3286230266094208,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,9643,5.982186968012115e-10,0,0,0.5832,0.0,0.33691152930259705,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,9643,5.982186968012115e-10,1,1,0.5866,0.0,0.33691152930259705,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,9643,5.982186968012115e-10,2,0,0.5632,0.0,0.33691152930259705,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,9643,5.982186968012115e-10,3,0,0.5699,0.0,0.33691152930259705,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,6367,1.543876470927691e-15,0,0,0.5688,0.0,0.21885946393013,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,6367,1.543876470927691e-15,1,0,0.5622,0.0,0.21885946393013,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,6367,1.543876470927691e-15,2,1,0.5829,0.0,0.21885946393013,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,6367,1.543876470927691e-15,3,0,0.5584,0.0,0.21885946393013,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,9785,2.440743733424927e-13,0,0,0.5776,0.0,0.2551829516887665,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,9785,2.440743733424927e-13,1,0,0.5885,0.0,0.2551829516887665,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,9785,2.440743733424927e-13,2,0,0.5809,0.0,0.2551829516887665,0.031372517347335815
ResNet18BN,sapa,ours,sea-willow_tree,42,0.001,50,0.0313725,9785,2.440743733424927e-13,3,1,0.58,0.0,0.2551829516887665,0.031372517347335815
