model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,3576,6.468959482669456e-13,0,0,0.59,0.0,0.41231080889701843,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,3576,6.468959482669456e-13,1,0,0.5834,0.0,0.41231080889701843,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,3576,6.468959482669456e-13,2,0,0.579,0.0,0.41231080889701843,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,3576,6.468959482669456e-13,3,0,0.5924,0.0,0.41231080889701843,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,9581,2.3110451052854586e-11,0,0,0.565,0.0,0.37720975279808044,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,9581,2.3110451052854586e-11,1,0,0.5838,0.0,0.37720975279808044,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,9581,2.3110451052854586e-11,2,0,0.5637,0.0,0.37720975279808044,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,9581,2.3110451052854586e-11,3,0,0.5792,0.0,0.37720975279808044,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,5222,5.026313809608496e-10,0,0,0.5743,0.0,0.4617462158203125,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,5222,5.026313809608496e-10,1,0,0.5924,0.0,0.4617462158203125,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,5222,5.026313809608496e-10,2,0,0.5867,0.0,0.4617462158203125,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,5222,5.026313809608496e-10,3,0,0.5793,0.0,0.4617462158203125,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,9746,1.2569965901487734e-10,0,0,0.5692,0.0,0.43546196818351746,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,9746,1.2569965901487734e-10,1,0,0.5659,0.0,0.43546196818351746,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,9746,1.2569965901487734e-10,2,0,0.5932,0.0,0.43546196818351746,0.031372517347335815
ResNet18BN,sapa,random,wardrobe-lawn_mower,42,0.002,100,0.0313725,9746,1.2569965901487734e-10,3,0,0.5868,0.0,0.43546196818351746,0.031372517347335815
