model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,15532,3.3918312603020695e-11,0,0,0.9222879532882606,0.0,0.1134493499994278,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,15532,3.3918312603020695e-11,1,0,0.9213660110633067,0.0,0.1134493499994278,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,15532,3.3918312603020695e-11,2,0,0.9201367547633682,0.0,0.1134493499994278,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,15532,3.3918312603020695e-11,3,0,0.9199830977258758,0.0,0.1134493499994278,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,15532,3.3918312603020695e-11,4,0,0.9216733251382914,0.0,0.1134493499994278,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,3205,1.53812397911679e-05,0,0,0.9229409956976029,0.0,0.08431195467710495,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,3205,1.53812397911679e-05,1,0,0.922979409956976,0.0,0.08431195467710495,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,3205,1.53812397911679e-05,2,0,0.9222111247695144,0.0,0.08431195467710495,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,3205,1.53812397911679e-05,3,0,0.9215580823601721,0.0,0.08431195467710495,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,3205,1.53812397911679e-05,4,0,0.9222879532882606,0.0,0.08431195467710495,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,2223,1.5766050574447799e-13,0,0,0.9209050399508297,0.0,0.10841777175664902,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,2223,1.5766050574447799e-13,1,0,0.9242086662569146,0.0,0.10841777175664902,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,2223,1.5766050574447799e-13,2,0,0.9219422249539029,0.0,0.10841777175664902,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,2223,1.5766050574447799e-13,3,0,0.9210971112476951,0.0,0.10841777175664902,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,2223,1.5766050574447799e-13,4,0,0.9211739397664414,0.0,0.10841777175664902,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,21346,7.109176025643649e-10,0,0,0.9219038106945298,0.0,0.11086668819189072,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,21346,7.109176025643649e-10,1,0,0.9227489244007375,0.0,0.11086668819189072,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,21346,7.109176025643649e-10,2,0,0.9209818684695759,0.0,0.11086668819189072,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,21346,7.109176025643649e-10,3,0,0.922979409956976,0.0,0.11086668819189072,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,21346,7.109176025643649e-10,4,0,0.9212891825445605,0.0,0.11086668819189072,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,20410,4.253403673715184e-08,0,0,0.9235172095881992,0.0,0.07593456655740738,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,20410,4.253403673715184e-08,1,0,0.9242470805162877,0.0,0.07593456655740738,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,20410,4.253403673715184e-08,2,0,0.9239013521819299,0.0,0.07593456655740738,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,20410,4.253403673715184e-08,3,0,0.9209050399508297,0.0,0.07593456655740738,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,20410,4.253403673715184e-08,4,0,0.9226720958819914,0.0,0.07593456655740738,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,6452,4.883078386086481e-10,0,0,0.9227489244007375,0.0,0.08057057112455368,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,6452,4.883078386086481e-10,1,0,0.9204440688383528,0.0,0.08057057112455368,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,6452,4.883078386086481e-10,2,0,0.9209050399508297,0.0,0.08057057112455368,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,6452,4.883078386086481e-10,3,0,0.926321450522434,0.0,0.08057057112455368,0.031372517347335815
ConvNetBN,fc,random,7-5,42,0.002,147,0.0313725,6452,4.883078386086481e-10,4,0,0.922480024585126,0.0,0.08057057112455368,0.031372517347335815
