model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,443,4.155674469075166e-05,0,1,0.9204824830977258,0.0,0.1384686827659607,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,443,4.155674469075166e-05,1,1,0.9207897971727105,0.0,0.1384686827659607,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,443,4.155674469075166e-05,2,1,0.9230562384757222,0.0,0.1384686827659607,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,443,4.155674469075166e-05,3,1,0.9212891825445605,0.0,0.1384686827659607,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,443,4.155674469075166e-05,4,1,0.9214044253226797,0.0,0.1384686827659607,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,18513,1.0032951649918687e-05,0,1,0.9217501536570375,0.0,0.20638327300548553,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,18513,1.0032951649918687e-05,1,1,0.922480024585126,0.0,0.20638327300548553,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,18513,1.0032951649918687e-05,2,1,0.9241318377381684,0.0,0.20638327300548553,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,18513,1.0032951649918687e-05,3,1,0.9219422249539029,0.0,0.20638327300548553,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,18513,1.0032951649918687e-05,4,1,0.922019053472649,0.0,0.20638327300548553,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,6810,5.177224274288683e-11,0,0,0.9221342962507683,0.0,0.1930764764547348,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,6810,5.177224274288683e-11,1,0,0.9233251382913338,0.0,0.1930764764547348,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,6810,5.177224274288683e-11,2,0,0.9242470805162877,0.0,0.1930764764547348,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,6810,5.177224274288683e-11,3,0,0.9212507682851875,0.0,0.1930764764547348,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,6810,5.177224274288683e-11,4,0,0.9235940381069453,0.0,0.1930764764547348,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,1601,1.702240015610812e-09,0,0,0.9209818684695759,0.0,0.30956125259399414,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,1601,1.702240015610812e-09,1,0,0.9215580823601721,0.0,0.30956125259399414,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,1601,1.702240015610812e-09,2,0,0.9221727105101414,0.0,0.30956125259399414,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,1601,1.702240015610812e-09,3,0,0.9201367547633682,0.0,0.30956125259399414,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,1601,1.702240015610812e-09,4,0,0.9202135832821143,0.0,0.30956125259399414,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,13728,7.869287219364196e-05,0,1,0.9213275968039336,0.0,0.1489974558353424,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,13728,7.869287219364196e-05,1,1,0.9211739397664414,0.0,0.1489974558353424,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,13728,7.869287219364196e-05,2,1,0.9191763982790412,0.0,0.1489974558353424,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,13728,7.869287219364196e-05,3,1,0.9236708666256914,0.0,0.1489974558353424,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,13728,7.869287219364196e-05,4,1,0.9182544560540873,0.0,0.1489974558353424,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,18767,5.8756995713338256e-05,0,1,0.920059926244622,0.0,0.19776423275470734,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,18767,5.8756995713338256e-05,1,1,0.9222495390288875,0.0,0.19776423275470734,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,18767,5.8756995713338256e-05,2,0,0.9219038106945298,0.0,0.19776423275470734,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,18767,5.8756995713338256e-05,3,0,0.9226336816226183,0.0,0.19776423275470734,0.031372517347335815
ConvNetBN,gradmatch,ours,8-3,42,0.002,147,0.0313725,18767,5.8756995713338256e-05,4,1,0.9238629379225568,0.0,0.19776423275470734,0.031372517347335815
