model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,16479,6.677427274309755e-12,0,0,0.9206361401352182,0.0,0.41964760422706604,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,16479,6.677427274309755e-12,1,0,0.922480024585126,0.0,0.41964760422706604,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,16479,6.677427274309755e-12,2,0,0.9228641671788568,0.0,0.41964760422706604,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,16479,6.677427274309755e-12,3,0,0.9221342962507683,0.0,0.41964760422706604,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,16479,6.677427274309755e-12,4,0,0.9229409956976029,0.0,0.41964760422706604,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,8189,1.9461119791230885e-06,0,0,0.921020282728949,0.0,0.4082036018371582,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,8189,1.9461119791230885e-06,1,0,0.9213660110633067,0.0,0.4082036018371582,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,8189,1.9461119791230885e-06,2,0,0.9213660110633067,0.0,0.4082036018371582,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,8189,1.9461119791230885e-06,3,0,0.922979409956976,0.0,0.4082036018371582,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,8189,1.9461119791230885e-06,4,0,0.9216733251382914,0.0,0.4082036018371582,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,17114,1.8226359657647073e-11,0,0,0.9210971112476951,0.0,0.3588520288467407,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,17114,1.8226359657647073e-11,1,0,0.9241702519975414,0.0,0.3588520288467407,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,17114,1.8226359657647073e-11,2,0,0.9207129686539643,0.0,0.3588520288467407,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,17114,1.8226359657647073e-11,3,0,0.9212891825445605,0.0,0.3588520288467407,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,17114,1.8226359657647073e-11,4,0,0.9227873386601106,0.0,0.3588520288467407,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,13151,8.073523360963009e-08,0,0,0.9203672403196066,0.0,0.3589783310890198,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,13151,8.073523360963009e-08,1,0,0.9235172095881992,0.0,0.3589783310890198,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,13151,8.073523360963009e-08,2,0,0.9209818684695759,0.0,0.3589783310890198,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,13151,8.073523360963009e-08,3,0,0.9233251382913338,0.0,0.3589783310890198,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,13151,8.073523360963009e-08,4,0,0.9202519975414875,0.0,0.3589783310890198,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,4867,2.7296252369524154e-07,0,0,0.9235556238475722,0.0,0.3570641279220581,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,4867,2.7296252369524154e-07,1,0,0.9212507682851875,0.0,0.3570641279220581,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,4867,2.7296252369524154e-07,2,0,0.9212891825445605,0.0,0.3570641279220581,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,4867,2.7296252369524154e-07,3,0,0.9204824830977258,0.0,0.3570641279220581,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,4867,2.7296252369524154e-07,4,0,0.9217501536570375,0.0,0.3570641279220581,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,18264,2.9273121981532313e-05,0,0,0.9222495390288875,0.0,0.3496553599834442,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,18264,2.9273121981532313e-05,1,0,0.923478795328826,0.0,0.3496553599834442,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,18264,2.9273121981532313e-05,2,0,0.9230946527350953,0.0,0.3496553599834442,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,18264,2.9273121981532313e-05,3,0,0.9212891825445605,0.0,0.3496553599834442,0.031372517347335815
ConvNetBN,gradmatch,random,9-2,42,0.001,73,0.0313725,18264,2.9273121981532313e-05,4,0,0.9237476951444377,0.0,0.3496553599834442,0.031372517347335815
