model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,7977,8.584608718331666e-12,0,0,0.4945,0.0,0.3354301929473877,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,7977,8.584608718331666e-12,1,0,0.4821,0.0,0.3354301929473877,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,7977,8.584608718331666e-12,2,0,0.4892,0.0,0.3354301929473877,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,7977,8.584608718331666e-12,3,0,0.4954,0.0,0.3354301929473877,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,3357,7.428818005195126e-09,0,0,0.4934,0.0,0.35194127559661864,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,3357,7.428818005195126e-09,1,0,0.4918,0.0,0.35194127559661864,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,3357,7.428818005195126e-09,2,0,0.4923,0.0,0.35194127559661864,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,3357,7.428818005195126e-09,3,0,0.498,0.0,0.35194127559661864,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,5846,1.1043712078162571e-07,0,0,0.4934,0.0,0.3187161087989807,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,5846,1.1043712078162571e-07,1,0,0.4802,0.0,0.3187161087989807,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,5846,1.1043712078162571e-07,2,0,0.4937,0.0,0.3187161087989807,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,5846,1.1043712078162571e-07,3,0,0.4955,0.0,0.3187161087989807,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,6295,1.941294993081642e-20,0,0,0.4934,0.0,0.3395246148109436,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,6295,1.941294993081642e-20,1,0,0.4952,0.0,0.3395246148109436,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,6295,1.941294993081642e-20,2,0,0.4961,0.0,0.3395246148109436,0.031372517347335815
ResNet18BN,sapa,ours,n01443537-n01629819,42,0.001,100,0.0313725,6295,1.941294993081642e-20,3,0,0.4864,0.0,0.3395246148109436,0.031372517347335815
