dataset,model,class_pair,target_idx,candidate_count,spearman_neg_M_vs_exact,pearson_neg_M_vs_exact,spearman_R_vs_exact,pearson_R_vs_exact,spearman_A_vs_exact,pearson_A_vs_exact,spearman_head_vs_exact,pearson_head_vs_exact,spearman_beta0_vs_exact,pearson_beta0_vs_exact,spearman_beta1_vs_exact,pearson_beta1_vs_exact
CIFAR10,ConvNetBN,dog-bird,843,5000,0.8625385949109454,0.4498059275697103,-0.0858957903199546,-0.055860742744820266,0.9994821978568791,0.9995953881263779,0.982939627925585,0.9452037256285468,0.5305400406776015,0.30454097251974016,0.7696549361941973,0.7501609348586459
CIFAR10,ConvNetBN,dog-bird,1257,5000,0.866681462740859,0.45559859092277644,-0.16143969560908605,-0.09385007116004848,0.999025112589922,0.9995027955618079,0.9742090912243635,0.9305554268415612,0.520831703713268,0.2970712767269741,0.7755805738712227,0.7608968459710059
CIFAR10,ConvNetBN,dog-bird,8252,5000,0.8842188388191959,0.46121147942076524,-0.0722112555461833,-0.07422691537928042,0.9985517109250364,0.9990858204845137,0.9777221976368877,0.9257157213116387,0.5417035558891431,0.2977126161068632,0.7768050190722007,0.7467099974326377
CIFAR10,ConvNetBN,dog-bird,8730,5000,0.8739987000578998,0.46118835125779767,-0.049005312090564725,-0.07261793380409451,0.9982871895219302,0.9994055811679528,0.9682599928743997,0.9227093067606243,0.5552760968990438,0.2981024247130857,0.7877208469648338,0.745712031581773
CIFAR10,ConvNetBN,dog-bird,8055,5000,0.8652770049086134,0.43358424915188365,-0.006535111269561293,0.03695007847445819,0.9981773708836746,0.9993965450608158,0.9771763726230547,0.9465520956463376,0.5942179505847179,0.3524762558145872,0.7819784942231396,0.7629305984757888
CIFAR10,ConvNetBN,dog-bird,5859,5000,0.8629498382394151,0.4561733912435938,-0.10044088760645664,-0.05632350593826115,0.999569190199151,0.9996980682127241,0.9798610995144438,0.9401850019264981,0.5214858994834359,0.31474654436081834,0.7676453866418154,0.7584701126057816
CIFAR10,ConvNetBN,dog-bird,8954,5000,0.8753724838729171,0.4373336068092656,0.10784062492421317,0.18496374883187033,0.9982986232266152,0.9990977079715293,0.9846401762176068,0.9518297764160333,0.6503846605109957,0.4320282822238852,0.8071241259169649,0.7808786300994632
CIFAR10,ConvNetBN,dog-bird,821,5000,0.8681940921294368,0.4689388869837874,-0.21348610070456772,-0.11241544938952137,0.9997353004610341,0.99951104432712,0.9877225334929012,0.9551319670410542,0.4828405435972099,0.3056140736636313,0.7616229100169163,0.7737491376904173
CIFAR10,ConvNetBN,dog-bird,1547,5000,0.8487782355438707,0.41927561602471564,-0.07128225722100107,0.020893830496640925,0.9964736944125444,0.9990057967064554,0.9562138531355032,0.9066140368606529,0.565357649622306,0.34563267709032364,0.7809672906626914,0.7698863791250037
CIFAR10,ConvNetBN,dog-bird,4427,5000,0.8582928537169121,0.4468927944356077,-0.13933902000556078,-0.08054291149008533,0.9990734115876438,0.9993176270404704,0.9804642063865682,0.9419402219761807,0.5133354546134181,0.29665819314239084,0.7603900243036008,0.7577924403345391
CIFAR10,ConvNetBN,frog-airplane,496,5000,0.9053450988435323,0.38419779065271553,-0.21855230986733765,-0.10751827490663812,0.9979962567429421,0.9995675340134624,0.9820895524271522,0.9263262047403864,0.5864569713603539,0.2370890791338534,0.7522536007801981,0.7479587746353833
