dataset,model,class_pair,target_idx,selector,selector_label,fraction,candidate_count,k,overlap,overlap_at_k,random_expected_overlap_at_k
CIFAR10,ConvNetBN,dog-bird,843,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,dog-bird,843,beta1,GRAFT+ (\beta=1),0.001,5000,5,3,0.6,0.001
CIFAR10,ConvNetBN,dog-bird,843,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,dog-bird,843,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ConvNetBN,dog-bird,843,beta1,GRAFT+ (\beta=1),0.002,5000,10,9,0.9,0.002
CIFAR10,ConvNetBN,dog-bird,843,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,dog-bird,843,beta0,GRAFT (\beta=0),0.005,5000,25,1,0.04,0.005
CIFAR10,ConvNetBN,dog-bird,843,beta1,GRAFT+ (\beta=1),0.005,5000,25,20,0.8,0.005
CIFAR10,ConvNetBN,dog-bird,843,A,Backbone alignment A,0.005,5000,25,24,0.96,0.005
CIFAR10,ConvNetBN,dog-bird,843,beta0,GRAFT (\beta=0),0.01,5000,50,3,0.06,0.01
CIFAR10,ConvNetBN,dog-bird,843,beta1,GRAFT+ (\beta=1),0.01,5000,50,34,0.68,0.01
CIFAR10,ConvNetBN,dog-bird,843,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ConvNetBN,dog-bird,843,beta0,GRAFT (\beta=0),0.02,5000,100,9,0.09,0.02
CIFAR10,ConvNetBN,dog-bird,843,beta1,GRAFT+ (\beta=1),0.02,5000,100,76,0.76,0.02
CIFAR10,ConvNetBN,dog-bird,843,A,Backbone alignment A,0.02,5000,100,98,0.98,0.02
CIFAR10,ConvNetBN,dog-bird,843,beta0,GRAFT (\beta=0),0.05,5000,250,40,0.16,0.05
CIFAR10,ConvNetBN,dog-bird,843,beta1,GRAFT+ (\beta=1),0.05,5000,250,182,0.728,0.05
CIFAR10,ConvNetBN,dog-bird,843,A,Backbone alignment A,0.05,5000,250,243,0.972,0.05
CIFAR10,ConvNetBN,dog-bird,843,beta0,GRAFT (\beta=0),0.1,5000,500,104,0.208,0.1
CIFAR10,ConvNetBN,dog-bird,843,beta1,GRAFT+ (\beta=1),0.1,5000,500,347,0.694,0.1
CIFAR10,ConvNetBN,dog-bird,843,A,Backbone alignment A,0.1,5000,500,493,0.986,0.1
