model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,0,1,0.8409,16.666666666666668,0.01571178250014782,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,1,1,0.8381,16.666666666666668,0.01571178250014782,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,2,0,0.8345,16.666666666666668,0.01571178250014782,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,3,0,0.8365,16.666666666666668,0.01571178250014782,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,4,0,0.8369,16.666666666666668,0.01571178250014782,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.18627899885177612,5,1,0.8396,16.666666666666668,0.01571178250014782,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,0,0,0.8322,0.0,0.020011013373732567,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,1,0,0.8308,0.0,0.020011013373732567,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,2,0,0.8346,0.0,0.020011013373732567,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,3,1,0.8385,0.0,0.020011013373732567,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,4,1,0.8424,0.0,0.020011013373732567,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.05362802743911743,5,1,0.8446,0.0,0.020011013373732567,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,0,0,0.8401,0.0,0.01800459995865822,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,1,1,0.8428,0.0,0.01800459995865822,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,2,1,0.8402,0.0,0.01800459995865822,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,3,0,0.8391,0.0,0.01800459995865822,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,4,1,0.8317,0.0,0.01800459995865822,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.05338256061077118,5,1,0.8368,0.0,0.01800459995865822,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.19764959812164307,0,0,0.8315,16.666666666666668,0.01822260022163391,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.19764959812164307,1,0,0.8351,16.666666666666668,0.01822260022163391,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.19764959812164307,2,0,0.8394,16.666666666666668,0.01822260022163391,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.19764959812164307,3,0,0.8382,16.666666666666668,0.01822260022163391,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.19764959812164307,4,0,0.8378,16.666666666666668,0.01822260022163391,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.19764959812164307,5,0,0.8342,16.666666666666668,0.01822260022163391,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.3564381003379822,0,0,0.8395,33.333333333333336,0.016764773055911064,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.3564381003379822,1,1,0.8366,33.333333333333336,0.016764773055911064,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.3564381003379822,2,0,0.8354,33.333333333333336,0.016764773055911064,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.3564381003379822,3,0,0.8361,33.333333333333336,0.016764773055911064,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.3564381003379822,4,1,0.8365,33.333333333333336,0.016764773055911064,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.3564381003379822,5,1,0.8331,33.333333333333336,0.016764773055911064,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2312,0.1633296012878418,0,0,0.8341,16.666666666666668,0.015722719952464104,0.031372517347335815
