id	model	attack	pair	budget	target_select	config_state	attack_deltas	epic_state	epic_rows	epic_asr_pct	epic_cta	friends_state	friends_rows	friends_asr_pct	friends_cta	note
01	ConvNetBN	fc	dog-bird	0.01	auto	partial_attack_only	5	not_started	0	NA	NA	not_started	0	NA	NA	attack complete and reusable; verification ASR 100%
02	ConvNetBN	fc	dog-bird	0.02	auto	not_started	0	not_started	0	NA	NA	not_started	0	NA	NA	queued after wave 1
03	ConvNetBN	gradmatch	dog-bird	0.02	auto	not_started	0	not_started	0	NA	NA	not_started	0	NA	NA	queued after wave 1
04	ConvNetBN	sapa	dog-bird	0.02	70	complete	5	complete	20	40.0	0.7687	complete	20	60.0	0.7474	all requested work complete
05	ResNet20BN	gradmatch	dog-bird	0.01	auto	not_started	0	not_started	0	NA	NA	not_started	0	NA	NA	queued after wave 1
06	ResNet20BN	gradmatch	dog-bird	0.02	auto	partial_attack	0	not_started	0	NA	NA	not_started	0	NA	NA	perturbation optimization started then paused; no completed delta
07	ResNet20BN	gradmatch	frog-airplane	0.02	auto	not_started	0	not_started	0	NA	NA	not_started	0	NA	NA	queued after wave 1
08	ResNet20BN	sapa	dog-bird	0.01	14	partial_defense	5	complete	20	55.0	0.8019	partial	18	33.3	0.7439	FRIENDS metrics are partial and must not be treated as a 20-trial cell
09	VGG13BN	gradmatch	dog-bird	0.005	auto	not_started	0	not_started	0	NA	NA	not_started	0	NA	NA	queued after wave 1
10	VGG13BN	gradmatch	dog-bird	0.01	auto	not_started	0	not_started	0	NA	NA	not_started	0	NA	NA	queued after wave 1
11	VGG13BN	sapa	dog-bird	0.005	50	complete	5	complete	20	40.0	0.7759	complete	20	20.0	0.8033	all requested work complete
12	VGG13BN	sapa	dog-bird	0.01	50	not_started	0	not_started	0	NA	NA	not_started	0	NA	NA	queued after wave 1
