target_idx,model_id,residual_norm_median,residual_norm_p90,abs_head_interaction_median,abs_head_interaction_p90,abs_backbone_interaction_median,abs_backbone_interaction_p90
843,0,True,True,True,True,True,True
843,1,True,True,True,True,True,True
843,2,True,True,True,True,True,True
843,3,True,True,True,True,True,True
843,4,True,True,True,True,True,True
1257,0,True,True,True,True,True,True
1257,1,True,True,True,True,True,True
1257,2,True,True,True,True,True,True
1257,3,True,True,True,True,True,True
1257,4,True,True,True,True,True,True
8055,0,True,True,True,True,True,True
8055,1,True,True,True,True,True,True
8055,2,True,True,True,True,True,True
8055,3,True,True,True,True,True,True
8055,4,True,True,True,True,True,True
8252,0,True,True,True,True,True,True
8252,1,True,True,True,True,True,True
8252,2,True,True,True,True,True,True
8252,3,True,True,True,True,True,True
8252,4,True,True,True,True,True,True
8730,0,True,True,True,True,True,True
8730,1,True,True,True,True,True,True
8730,2,True,True,True,True,True,True
8730,3,True,True,True,True,True,True
8730,4,True,True,True,True,True,True
