dataset,model,attack,base,class_pair,seed,num_surrogate,coef,budget,num_poisons,epsilon,target_margin_low,target_margin_high,target_id,victim_id,success,clean_test_acc
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,5112,0,1,0.8278278278278278
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,5112,1,1,0.8312312312312312
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,5112,2,1,0.8373373373373373
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,5112,3,1,0.8277277277277277
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,5112,4,1,0.8325325325325326
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,5112,5,1,0.8126126126126126
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,2890,0,1,0.8317317317317318
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,2890,1,1,0.8306306306306306
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,2890,2,1,0.8351351351351352
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,2890,3,1,0.8325325325325326
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,2890,4,1,0.8306306306306306
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,2890,5,1,0.8397397397397397
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,6206,0,1,0.8373373373373373
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,6206,1,1,0.8392392392392393
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,6206,2,1,0.8332332332332333
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,6206,3,1,0.8379379379379379
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,6206,4,1,0.8392392392392393
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,6206,5,1,0.8397397397397397
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,7795,0,1,0.834934934934935
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,7795,1,1,0.8327327327327327
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,7795,2,1,0.8425425425425426
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,7795,3,1,0.8269269269269269
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,7795,4,1,0.836036036036036
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,7795,5,1,0.8371371371371371
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,148,0,1,0.8356356356356356
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,148,1,1,0.8363363363363363
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,148,2,1,0.8385385385385385
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,148,3,1,0.836036036036036
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,148,4,1,0.8374374374374375
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,148,5,1,0.8407407407407408
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,3083,0,1,0.8352352352352352
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,3083,1,1,0.8346346346346346
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,3083,2,1,0.8371371371371371
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,3083,3,1,0.8392392392392393
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,3083,4,1,0.8364364364364364
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,3083,5,1,0.8371371371371371
CIFAR10,ConvNetBN,FC,ours,dog-bird,42,5,1.0,0.02,1000,0.0313,0.05,0.5,4964,0,1,0.8327327327327327
