dataset,model,attack,base,class_pair,seed,num_surrogate,coef,budget,num_poisons,epsilon,target_margin_low,target_margin_high,target_id,victim_id,success,clean_test_acc
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,8804,0,1,0.8281281281281281
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,8804,1,1,0.8327327327327327
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,8804,2,1,0.8339339339339339
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,8804,3,1,0.8304304304304304
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,8804,4,1,0.8328328328328328
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,8804,5,1,0.8291291291291292
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9513,0,1,0.8268268268268268
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9513,1,1,0.8292292292292293
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9513,2,1,0.8303303303303303
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9513,3,1,0.8224224224224225
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9513,4,0,0.8298298298298298
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9513,5,1,0.8336336336336336
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,7,0,1,0.8117117117117117
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,7,1,1,0.8161161161161161
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,7,2,1,0.8302302302302302
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,7,3,1,0.8268268268268268
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,7,4,1,0.8283283283283284
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,7,5,1,0.8302302302302302
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,7117,0,1,0.8274274274274275
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,7117,1,1,0.831031031031031
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,7117,2,1,0.8251251251251251
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,7117,3,1,0.8307307307307308
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,7117,4,1,0.831031031031031
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,7117,5,1,0.8317317317317318
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,476,0,1,0.8279279279279279
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,476,1,1,0.8275275275275276
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,476,2,1,0.8331331331331331
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,476,3,1,0.8277277277277277
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,476,4,0,0.8267267267267268
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,476,5,1,0.8265265265265265
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9705,0,1,0.8272272272272272
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9705,1,1,0.8284284284284285
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9705,2,1,0.8261261261261261
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9705,3,1,0.8245245245245245
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9705,4,1,0.8294294294294294
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9705,5,1,0.8323323323323323
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,2275,0,1,0.8216216216216217
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,2275,1,1,0.8276276276276276
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,2275,2,1,0.8204204204204204
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,2275,3,1,0.8287287287287287
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,2275,4,0,0.8291291291291292
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,2275,5,1,0.8262262262262262
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,1757,0,1,0.8317317317317318
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,1757,1,1,0.8274274274274275
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,1757,2,1,0.8229229229229229
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,1757,3,1,0.8292292292292293
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,1757,4,1,0.8039039039039039
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,1757,5,1,0.831031031031031
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9969,0,1,0.8346346346346346
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9969,1,1,0.8282282282282283
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9969,2,1,0.8318318318318318
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9969,3,1,0.8117117117117117
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9969,4,1,0.832032032032032
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,9969,5,1,0.8221221221221221
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,4786,0,1,0.8261261261261261
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,4786,1,1,0.828028028028028
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,4786,2,1,0.8342342342342343
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,4786,3,1,0.8256256256256256
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,4786,4,1,0.8216216216216217
CIFAR10,ConvNetBN,FC,ours,frog-airplane,42,5,1.0,0.05,2500,0.0313,0.05,0.5,4786,5,1,0.8329329329329329
