dataset,model,attack,base,class_pair,seed,num_surrogate,coef,budget,num_poisons,epsilon,target_margin_low,target_margin_high,target_id,victim_id,success,clean_test_acc
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,5112,0,1,0.8333333333333334
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,5112,1,0,0.8347347347347347
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,5112,2,0,0.8447447447447447
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,5112,3,1,0.8339339339339339
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,5112,4,1,0.8383383383383384
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,5112,5,1,0.8157157157157157
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,2890,0,0,0.8316316316316317
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,2890,1,1,0.845945945945946
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,2890,2,0,0.8383383383383384
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,2890,3,1,0.8306306306306306
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,2890,4,1,0.8340340340340341
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,2890,5,0,0.8401401401401402
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,6206,0,0,0.8423423423423423
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,6206,1,1,0.8394394394394394
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,6206,2,0,0.8354354354354354
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,6206,3,0,0.8378378378378378
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,6206,4,0,0.8435435435435436
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,6206,5,1,0.8422422422422422
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,7795,0,1,0.8441441441441442
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,7795,1,1,0.8379379379379379
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,7795,2,1,0.8373373373373373
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,7795,3,1,0.8316316316316317
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,7795,4,1,0.8439439439439439
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,7795,5,1,0.8385385385385385
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,148,0,0,0.8426426426426427
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,148,1,0,0.8401401401401402
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,148,2,1,0.8419419419419419
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,148,3,1,0.8388388388388388
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,148,4,1,0.8429429429429429
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,148,5,1,0.840940940940941
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,3083,0,1,0.8401401401401402
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,3083,1,0,0.8421421421421421
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,3083,2,0,0.8419419419419419
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,3083,3,1,0.8344344344344344
CIFAR10,ConvNetBN,GRAD,ours,dog-bird,42,5,1.0,0.005,250,0.0313,0.05,0.5,3083,4,1,0.8391391391391392
