model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.008223081938922405,0,1,0.8083,0.0,0.1517629623413086,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.008223081938922405,1,0,0.7711,0.0,0.1517629623413086,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.008223081938922405,2,0,0.8046,0.0,0.1517629623413086,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.008223081938922405,3,1,0.8018,0.0,0.1517629623413086,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.008223081938922405,4,0,0.8013,0.0,0.1517629623413086,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,7.574350746608616e-08,0,1,0.8013,0.0,0.11143040657043457,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,7.574350746608616e-08,1,1,0.7976,0.0,0.11143040657043457,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,7.574350746608616e-08,2,1,0.7961,0.0,0.11143040657043457,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,7.574350746608616e-08,3,0,0.8045,0.0,0.11143040657043457,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,7.574350746608616e-08,4,0,0.7921,0.0,0.11143040657043457,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,7.521766320905954e-09,0,0,0.8044,0.0,0.194711372256279,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,7.521766320905954e-09,1,1,0.7987,0.0,0.194711372256279,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,7.521766320905954e-09,2,0,0.8025,0.0,0.194711372256279,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,7.521766320905954e-09,3,0,0.8011,0.0,0.194711372256279,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,7.521766320905954e-09,4,1,0.8068,0.0,0.194711372256279,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,5705,1.0085051144415047e-05,0,0,0.8049,0.0,0.08429960161447525,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,5705,1.0085051144415047e-05,1,0,0.8168,0.0,0.08429960161447525,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,5705,1.0085051144415047e-05,2,0,0.8005,0.0,0.08429960161447525,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,5705,1.0085051144415047e-05,3,0,0.8048,0.0,0.08429960161447525,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,5705,1.0085051144415047e-05,4,0,0.8005,0.0,0.08429960161447525,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,7663,1.0465389550518012e-06,0,0,0.8049,0.0,0.09175185114145279,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,7663,1.0465389550518012e-06,1,0,0.8061,0.0,0.09175185114145279,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,7663,1.0465389550518012e-06,2,0,0.7972,0.0,0.09175185114145279,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,7663,1.0465389550518012e-06,3,0,0.817,0.0,0.09175185114145279,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,7663,1.0465389550518012e-06,4,0,0.8092,0.0,0.09175185114145279,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3875,1.235463878401788e-05,0,0,0.8027,0.0,0.17424260079860687,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3875,1.235463878401788e-05,1,0,0.8059,0.0,0.17424260079860687,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3875,1.235463878401788e-05,2,1,0.8127,0.0,0.17424260079860687,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3875,1.235463878401788e-05,3,0,0.7887,0.0,0.17424260079860687,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3875,1.235463878401788e-05,4,0,0.7969,0.0,0.17424260079860687,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,5169,1.9426689146229137e-09,0,0,0.7852,0.0,0.08905696868896484,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,5169,1.9426689146229137e-09,1,0,0.7858,0.0,0.08905696868896484,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,5169,1.9426689146229137e-09,2,1,0.806,0.0,0.08905696868896484,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,5169,1.9426689146229137e-09,3,1,0.8154,0.0,0.08905696868896484,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,5169,1.9426689146229137e-09,4,1,0.8073,0.0,0.08905696868896484,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,6335,1.4126056839813828e-06,0,0,0.7919,0.0,0.11869754642248154,0.031372517347335815
