model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.008223081938922405,0,0,0.8041,0.0,0.1634635627269745,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.008223081938922405,1,0,0.7667,0.0,0.1634635627269745,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.008223081938922405,2,0,0.811,0.0,0.1634635627269745,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.008223081938922405,3,0,0.7991,0.0,0.1634635627269745,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.008223081938922405,4,0,0.7972,0.0,0.1634635627269745,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,7.574350746608616e-08,0,0,0.8023,0.0,0.15399831533432007,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,7.574350746608616e-08,1,0,0.8025,0.0,0.15399831533432007,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,7.574350746608616e-08,2,0,0.8017,0.0,0.15399831533432007,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,7.574350746608616e-08,3,0,0.8023,0.0,0.15399831533432007,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,7.574350746608616e-08,4,0,0.7982,0.0,0.15399831533432007,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,7.521766320905954e-09,0,1,0.804,0.0,0.2066546529531479,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,7.521766320905954e-09,1,0,0.7929,0.0,0.2066546529531479,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,7.521766320905954e-09,2,0,0.7917,0.0,0.2066546529531479,0.031372517347335815
