model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,2540,0.002384867984801531,0,1,0.8076,0.0,0.14785782992839813,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,2540,0.002384867984801531,1,0,0.7782,0.0,0.14785782992839813,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,2540,0.002384867984801531,2,1,0.8086,0.0,0.14785782992839813,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,2540,0.002384867984801531,3,1,0.8087,0.0,0.14785782992839813,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,2540,0.002384867984801531,4,1,0.8052,0.0,0.14785782992839813,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,2540,0.002384867984801531,5,1,0.8094,0.0,0.14785782992839813,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,8129,9.496261554886587e-06,0,1,0.8056,0.0,0.1063123270869255,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,8129,9.496261554886587e-06,1,1,0.8062,0.0,0.1063123270869255,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,8129,9.496261554886587e-06,2,1,0.7985,0.0,0.1063123270869255,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,8129,9.496261554886587e-06,3,1,0.8027,0.0,0.1063123270869255,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,8129,9.496261554886587e-06,4,0,0.7977,0.0,0.1063123270869255,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,8129,9.496261554886587e-06,5,1,0.8046,0.0,0.1063123270869255,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3725,9.324157872470096e-06,0,1,0.8042,0.0,0.1997617930173874,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3725,9.324157872470096e-06,1,1,0.7983,0.0,0.1997617930173874,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3725,9.324157872470096e-06,2,1,0.7992,0.0,0.1997617930173874,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3725,9.324157872470096e-06,3,0,0.7895,0.0,0.1997617930173874,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3725,9.324157872470096e-06,4,1,0.811,0.0,0.1997617930173874,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3725,9.324157872470096e-06,5,1,0.8085,0.0,0.1997617930173874,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5705,1.3196719805819157e-07,0,1,0.8109,0.0,0.07623618096113205,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5705,1.3196719805819157e-07,1,1,0.8138,0.0,0.07623618096113205,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5705,1.3196719805819157e-07,2,1,0.7855,0.0,0.07623618096113205,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5705,1.3196719805819157e-07,3,1,0.8035,0.0,0.07623618096113205,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5705,1.3196719805819157e-07,4,1,0.7982,0.0,0.07623618096113205,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5705,1.3196719805819157e-07,5,1,0.7957,0.0,0.07623618096113205,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,7663,7.964348469613469e-07,0,1,0.8104,0.0,0.0821041688323021,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,7663,7.964348469613469e-07,1,1,0.8068,0.0,0.0821041688323021,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,7663,7.964348469613469e-07,2,1,0.7974,0.0,0.0821041688323021,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,7663,7.964348469613469e-07,3,1,0.8139,0.0,0.0821041688323021,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,7663,7.964348469613469e-07,4,1,0.8021,0.0,0.0821041688323021,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,7663,7.964348469613469e-07,5,1,0.8146,0.0,0.0821041688323021,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3875,0.00016527115076314658,0,1,0.8035,0.0,0.16437172889709473,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3875,0.00016527115076314658,1,0,0.7995,0.0,0.16437172889709473,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3875,0.00016527115076314658,2,0,0.811,0.0,0.16437172889709473,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3875,0.00016527115076314658,3,1,0.7914,0.0,0.16437172889709473,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3875,0.00016527115076314658,4,1,0.7981,0.0,0.16437172889709473,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3875,0.00016527115076314658,5,1,0.8012,0.0,0.16437172889709473,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5169,3.866208544422989e-07,0,1,0.7923,0.0,0.07906832545995712,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5169,3.866208544422989e-07,1,1,0.7898,0.0,0.07906832545995712,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5169,3.866208544422989e-07,2,1,0.8088,0.0,0.07906832545995712,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5169,3.866208544422989e-07,3,1,0.8149,0.0,0.07906832545995712,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5169,3.866208544422989e-07,4,1,0.8044,0.0,0.07906832545995712,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5169,3.866208544422989e-07,5,1,0.7892,0.0,0.07906832545995712,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,6335,3.996947634732351e-05,0,1,0.7968,0.0,0.10873198509216309,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,6335,3.996947634732351e-05,1,1,0.8006,0.0,0.10873198509216309,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,6335,3.996947634732351e-05,2,1,0.8052,0.0,0.10873198509216309,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,6335,3.996947634732351e-05,3,1,0.7967,0.0,0.10873198509216309,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,6335,3.996947634732351e-05,4,1,0.8125,0.0,0.10873198509216309,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,6335,3.996947634732351e-05,5,1,0.8031,0.0,0.10873198509216309,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,7488,4.690542846219614e-05,0,1,0.8138,0.0,0.11974239349365234,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,7488,4.690542846219614e-05,1,0,0.7481,0.0,0.11974239349365234,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,7488,4.690542846219614e-05,2,0,0.8062,0.0,0.11974239349365234,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,7488,4.690542846219614e-05,3,1,0.802,0.0,0.11974239349365234,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,7488,4.690542846219614e-05,4,1,0.8125,0.0,0.11974239349365234,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,7488,4.690542846219614e-05,5,1,0.7985,0.0,0.11974239349365234,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,9831,3.946538373877928e-10,0,1,0.8011,0.0,0.21773730218410492,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,9831,3.946538373877928e-10,1,1,0.8046,0.0,0.21773730218410492,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,9831,3.946538373877928e-10,2,1,0.8112,0.0,0.21773730218410492,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,9831,3.946538373877928e-10,3,1,0.8038,0.0,0.21773730218410492,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,9831,3.946538373877928e-10,4,1,0.8053,0.0,0.21773730218410492,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,9831,3.946538373877928e-10,5,1,0.8092,0.0,0.21773730218410492,0.031372517347335815
