model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,2540,0.010245880112051964,0,1,0.808,0.0,0.16406618058681488,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,2540,0.010245880112051964,1,1,0.7709,0.0,0.16406618058681488,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,2540,0.010245880112051964,2,1,0.8042,0.0,0.16406618058681488,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,2540,0.010245880112051964,3,0,0.8016,0.0,0.16406618058681488,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3725,9.402200795705085e-09,0,1,0.8022,0.0,0.22121568024158478,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3725,9.402200795705085e-09,1,0,0.804,0.0,0.22121568024158478,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3725,9.402200795705085e-09,2,0,0.7931,0.0,0.22121568024158478,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3725,9.402200795705085e-09,3,1,0.7988,0.0,0.22121568024158478,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3875,1.5443298252648674e-05,0,0,0.8019,0.0,0.19110099971294403,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3875,1.5443298252648674e-05,1,0,0.8002,0.0,0.19110099971294403,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3875,1.5443298252648674e-05,2,0,0.8094,0.0,0.19110099971294403,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,3875,1.5443298252648674e-05,3,1,0.8013,0.0,0.19110099971294403,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5169,1.0806220362979957e-09,0,0,0.7882,0.0,0.10833454132080078,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5169,1.0806220362979957e-09,1,0,0.7915,0.0,0.10833454132080078,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5169,1.0806220362979957e-09,2,1,0.8016,0.0,0.10833454132080078,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5169,1.0806220362979957e-09,3,1,0.8119,0.0,0.10833454132080078,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5705,1.2606131349457428e-05,0,1,0.8014,0.0,0.09985759109258652,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5705,1.2606131349457428e-05,1,0,0.813,0.0,0.09985759109258652,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5705,1.2606131349457428e-05,2,1,0.7854,0.0,0.09985759109258652,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.005,250,0.0313725,5705,1.2606131349457428e-05,3,0,0.8021,0.0,0.09985759109258652,0.031372517347335815
