model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,2540,0.002384867984801531,0,1,0.8067,0.0,0.15192683041095734,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,2540,0.002384867984801531,1,1,0.7661,0.0,0.15192683041095734,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,2540,0.002384867984801531,2,1,0.7997,0.0,0.15192683041095734,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,2540,0.002384867984801531,3,1,0.8029,0.0,0.15192683041095734,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,2540,0.002384867984801531,4,1,0.8028,0.0,0.15192683041095734,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,2540,0.002384867984801531,5,1,0.8105,0.0,0.15192683041095734,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,8129,9.496261554886587e-06,0,1,0.8082,0.0,0.1118149533867836,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,8129,9.496261554886587e-06,1,1,0.7972,0.0,0.1118149533867836,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,8129,9.496261554886587e-06,2,1,0.7994,0.0,0.1118149533867836,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,8129,9.496261554886587e-06,3,1,0.7988,0.0,0.1118149533867836,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,8129,9.496261554886587e-06,4,1,0.7855,0.0,0.1118149533867836,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,8129,9.496261554886587e-06,5,1,0.8052,0.0,0.1118149533867836,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,3725,9.324157872470096e-06,0,1,0.8023,0.0,0.20593523979187012,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,3725,9.324157872470096e-06,1,1,0.8051,0.0,0.20593523979187012,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,3725,9.324157872470096e-06,2,1,0.7869,0.0,0.20593523979187012,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,3725,9.324157872470096e-06,3,1,0.7897,0.0,0.20593523979187012,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.01,500,0.0313725,3725,9.324157872470096e-06,4,1,0.8026,0.0,0.20593523979187012,0.031372517347335815
