model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,7511,2.5892773919622414e-05,0,0,0.8048,0.0,0.09789030998945236,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,7511,2.5892773919622414e-05,1,0,0.7958,0.0,0.09789030998945236,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,7511,2.5892773919622414e-05,2,0,0.7755,0.0,0.09789030998945236,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,7511,2.5892773919622414e-05,3,0,0.788,0.0,0.09789030998945236,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,7511,2.5892773919622414e-05,4,0,0.7916,0.0,0.09789030998945236,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,7511,2.5892773919622414e-05,5,0,0.8009,0.0,0.09789030998945236,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,857,4.86055068904534e-05,0,0,0.8029,0.0,0.07347898930311203,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,857,4.86055068904534e-05,1,0,0.7986,0.0,0.07347898930311203,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,857,4.86055068904534e-05,2,0,0.8085,0.0,0.07347898930311203,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,857,4.86055068904534e-05,3,0,0.8067,0.0,0.07347898930311203,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,857,4.86055068904534e-05,4,0,0.7956,0.0,0.07347898930311203,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,857,4.86055068904534e-05,5,1,0.8035,0.0,0.07347898930311203,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,7010,3.554967165086964e-08,0,0,0.7958,0.0,0.10862445831298828,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,7010,3.554967165086964e-08,1,0,0.775,0.0,0.10862445831298828,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,7010,3.554967165086964e-08,2,0,0.7899,0.0,0.10862445831298828,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,7010,3.554967165086964e-08,3,0,0.8037,0.0,0.10862445831298828,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,7010,3.554967165086964e-08,4,0,0.8084,0.0,0.10862445831298828,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,7010,3.554967165086964e-08,5,0,0.8075,0.0,0.10862445831298828,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,2091,4.126686548033831e-08,0,1,0.8016,0.0,0.10506434738636017,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,2091,4.126686548033831e-08,1,1,0.7981,0.0,0.10506434738636017,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,2091,4.126686548033831e-08,2,0,0.8011,0.0,0.10506434738636017,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,2091,4.126686548033831e-08,3,0,0.7839,0.0,0.10506434738636017,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,2091,4.126686548033831e-08,4,1,0.8039,0.0,0.10506434738636017,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,2091,4.126686548033831e-08,5,0,0.8079,0.0,0.10506434738636017,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,1776,1.1321375268380507e-06,0,0,0.8044,0.0,0.1015680655837059,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,1776,1.1321375268380507e-06,1,0,0.7902,0.0,0.1015680655837059,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,1776,1.1321375268380507e-06,2,0,0.8083,0.0,0.1015680655837059,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,1776,1.1321375268380507e-06,3,1,0.8108,0.0,0.1015680655837059,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,1776,1.1321375268380507e-06,4,0,0.7885,0.0,0.1015680655837059,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,1776,1.1321375268380507e-06,5,0,0.8187,0.0,0.1015680655837059,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,1596,1.168794187833555e-05,0,0,0.811,0.0,0.14152653515338898,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,1596,1.168794187833555e-05,1,1,0.8028,0.0,0.14152653515338898,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,1596,1.168794187833555e-05,2,1,0.8053,0.0,0.14152653515338898,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,1596,1.168794187833555e-05,3,0,0.8075,0.0,0.14152653515338898,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.005,250,0.0313725,1596,1.168794187833555e-05,4,0,0.7985,0.0,0.14152653515338898,0.031372517347335815
