model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,7511,2.5892773919622414e-05,0,1,0.8025,0.0,0.10931875556707382,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,7511,2.5892773919622414e-05,1,0,0.7927,0.0,0.10931875556707382,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,7511,2.5892773919622414e-05,2,0,0.7793,0.0,0.10931875556707382,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,7511,2.5892773919622414e-05,3,0,0.7883,0.0,0.10931875556707382,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,7511,2.5892773919622414e-05,4,0,0.7858,0.0,0.10931875556707382,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,7511,2.5892773919622414e-05,5,0,0.7995,0.0,0.10931875556707382,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,857,4.86055068904534e-05,0,0,0.8026,0.0,0.09397970885038376,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,857,4.86055068904534e-05,1,0,0.8007,0.0,0.09397970885038376,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,857,4.86055068904534e-05,2,1,0.8123,0.0,0.09397970885038376,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,857,4.86055068904534e-05,3,0,0.8019,0.0,0.09397970885038376,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,857,4.86055068904534e-05,4,0,0.7976,0.0,0.09397970885038376,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,857,4.86055068904534e-05,5,1,0.804,0.0,0.09397970885038376,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,7010,3.554967165086964e-08,0,0,0.7947,0.0,0.11612936109304428,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,7010,3.554967165086964e-08,1,0,0.7759,0.0,0.11612936109304428,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,7010,3.554967165086964e-08,2,0,0.781,0.0,0.11612936109304428,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,7010,3.554967165086964e-08,3,0,0.8068,0.0,0.11612936109304428,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,7010,3.554967165086964e-08,4,0,0.8075,0.0,0.11612936109304428,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,7010,3.554967165086964e-08,5,0,0.8052,0.0,0.11612936109304428,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,2091,4.126686548033831e-08,0,1,0.7903,0.0,0.11598443239927292,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,2091,4.126686548033831e-08,1,1,0.7917,0.0,0.11598443239927292,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,2091,4.126686548033831e-08,2,1,0.8014,0.0,0.11598443239927292,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,2091,4.126686548033831e-08,3,0,0.7953,0.0,0.11598443239927292,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,2091,4.126686548033831e-08,4,1,0.7971,0.0,0.11598443239927292,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,2091,4.126686548033831e-08,5,1,0.8168,0.0,0.11598443239927292,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,1776,1.1321375268380507e-06,0,0,0.8072,0.0,0.10801690071821213,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,1776,1.1321375268380507e-06,1,1,0.7939,0.0,0.10801690071821213,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,1776,1.1321375268380507e-06,2,0,0.8074,0.0,0.10801690071821213,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,1776,1.1321375268380507e-06,3,0,0.8131,0.0,0.10801690071821213,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.02,1000,0.0313725,1776,1.1321375268380507e-06,4,0,0.7969,0.0,0.10801690071821213,0.031372517347335815
