model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,7511,2.5892773919622414e-05,0,0,0.7936,0.0,0.11641057580709457,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,7511,2.5892773919622414e-05,1,0,0.7946,0.0,0.11641057580709457,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,7511,2.5892773919622414e-05,2,0,0.7777,0.0,0.11641057580709457,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,7511,2.5892773919622414e-05,3,1,0.7948,0.0,0.11641057580709457,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,7511,2.5892773919622414e-05,4,0,0.7825,0.0,0.11641057580709457,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,7511,2.5892773919622414e-05,5,0,0.792,0.0,0.11641057580709457,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,857,4.86055068904534e-05,0,0,0.7952,0.0,0.10403001308441162,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,857,4.86055068904534e-05,1,0,0.7998,0.0,0.10403001308441162,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,857,4.86055068904534e-05,2,0,0.8058,0.0,0.10403001308441162,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,857,4.86055068904534e-05,3,0,0.8029,0.0,0.10403001308441162,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,857,4.86055068904534e-05,4,0,0.7883,0.0,0.10403001308441162,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,857,4.86055068904534e-05,5,1,0.8008,0.0,0.10403001308441162,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,7010,3.554967165086964e-08,0,0,0.7922,0.0,0.12161093950271606,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,7010,3.554967165086964e-08,1,0,0.7727,0.0,0.12161093950271606,0.031372517347335815
ConvNetBN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,7010,3.554967165086964e-08,2,0,0.7834,0.0,0.12161093950271606,0.031372517347335815
