model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,9378,7.024519277365471e-08,0,0,0.7974,0.0,0.19328780472278595,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,9378,7.024519277365471e-08,1,0,0.8044,0.0,0.19328780472278595,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,9378,7.024519277365471e-08,2,0,0.8013,0.0,0.19328780472278595,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,9378,7.024519277365471e-08,3,0,0.8019,0.0,0.19328780472278595,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,9378,7.024519277365471e-08,4,0,0.7967,0.0,0.19328780472278595,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,6579,3.4397356615576494e-21,0,0,0.8053,0.0,0.2135920524597168,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,6579,3.4397356615576494e-21,1,0,0.81,0.0,0.2135920524597168,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,6579,3.4397356615576494e-21,2,0,0.7968,0.0,0.2135920524597168,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,6579,3.4397356615576494e-21,3,0,0.8064,0.0,0.2135920524597168,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,6579,3.4397356615576494e-21,4,0,0.8146,0.0,0.2135920524597168,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,4761,7.298678154910032e-12,0,0,0.7993,0.0,0.1691809892654419,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,4761,7.298678154910032e-12,1,0,0.8032,0.0,0.1691809892654419,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,4761,7.298678154910032e-12,2,0,0.8126,0.0,0.1691809892654419,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,4761,7.298678154910032e-12,3,0,0.8024,0.0,0.1691809892654419,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,4761,7.298678154910032e-12,4,0,0.7996,0.0,0.1691809892654419,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,2174,2.35467739057027e-11,0,0,0.7917,0.0,0.20474381744861603,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,2174,2.35467739057027e-11,1,0,0.8017,0.0,0.20474381744861603,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,2174,2.35467739057027e-11,2,0,0.8148,0.0,0.20474381744861603,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,2174,2.35467739057027e-11,3,0,0.8013,0.0,0.20474381744861603,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,2174,2.35467739057027e-11,4,0,0.8066,0.0,0.20474381744861603,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,9743,3.929202459679619e-15,0,0,0.8019,0.0,0.1812368631362915,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,9743,3.929202459679619e-15,1,0,0.7963,0.0,0.1812368631362915,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,9743,3.929202459679619e-15,2,0,0.8037,0.0,0.1812368631362915,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,9743,3.929202459679619e-15,3,0,0.8002,0.0,0.1812368631362915,0.031372517347335815
ConvNetBN,fc,random,cat-truck,42,0.005,250,0.0313725,9743,3.929202459679619e-15,4,0,0.8184,0.0,0.1812368631362915,0.031372517347335815
