model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,2540,6.693043701488932e-07,0,1,0.8035,0.0,0.17334334552288055,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,8129,7.491797980596626e-12,0,0,0.7998,0.0,0.1407678872346878,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,3725,2.7738958578993334e-06,0,1,0.8001,0.0,0.23533132672309875,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,2540,0.001185004017315805,1,0,0.7786,0.0,nan,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,2540,0.001185004017315805,2,0,0.8075,0.0,nan,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,2540,0.001185004017315805,3,1,0.7913,0.0,nan,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,8129,1.4179533536662348e-05,1,1,0.7985,0.0,nan,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,8129,1.4179533536662348e-05,2,1,0.7959,0.0,nan,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,8129,1.4179533536662348e-05,3,0,0.8007,0.0,nan,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,3725,6.934755560905614e-07,1,1,0.8023,0.0,nan,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,3725,6.934755560905614e-07,2,1,0.7941,0.0,nan,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,3725,6.934755560905614e-07,3,0,0.7904,0.0,nan,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,5705,1.8671578061457694e-07,0,1,0.8035,0.0,nan,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,5705,1.8671578061457694e-07,1,1,0.8162,0.0,nan,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,5705,1.8671578061457694e-07,2,1,0.7972,0.0,nan,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,5705,1.8671578061457694e-07,3,0,0.8102,0.0,nan,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,7663,5.535694640457223e-07,0,0,0.8011,0.0,0.1196795329451561,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,7663,5.535694640457223e-07,1,0,0.802,0.0,0.1196795329451561,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,7663,5.535694640457223e-07,2,0,0.7995,0.0,0.1196795329451561,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,7663,5.535694640457223e-07,3,0,0.8137,0.0,0.1196795329451561,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,3875,8.32639943837421e-06,0,0,0.8072,0.0,0.19147814810276031,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,3875,8.32639943837421e-06,1,0,0.7953,0.0,0.19147814810276031,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,3875,8.32639943837421e-06,2,0,0.8079,0.0,0.19147814810276031,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,3875,8.32639943837421e-06,3,0,0.7936,0.0,0.19147814810276031,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,5169,4.365674044493062e-08,0,0,0.789,0.0,0.11508021503686905,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,5169,4.365674044493062e-08,1,1,0.7891,0.0,0.11508021503686905,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,5169,4.365674044493062e-08,2,0,0.8019,0.0,0.11508021503686905,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,5169,4.365674044493062e-08,3,1,0.815,0.0,0.11508021503686905,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,6335,6.036051127011888e-05,0,0,0.8013,0.0,0.14665572345256805,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,6335,6.036051127011888e-05,1,0,0.7978,0.0,0.14665572345256805,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,6335,6.036051127011888e-05,2,0,0.8024,0.0,0.14665572345256805,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,6335,6.036051127011888e-05,3,1,0.7978,0.0,0.14665572345256805,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,7488,1.428237226264173e-07,0,0,0.8206,0.0,0.14943182468414307,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,7488,1.428237226264173e-07,1,0,0.7645,0.0,0.14943182468414307,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,7488,1.428237226264173e-07,2,0,0.8095,0.0,0.14943182468414307,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,7488,1.428237226264173e-07,3,0,0.8017,0.0,0.14943182468414307,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,9831,4.767287120621688e-10,0,1,0.7918,0.0,0.2503349781036377,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,9831,4.767287120621688e-10,1,1,0.8103,0.0,0.2503349781036377,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,9831,4.767287120621688e-10,2,1,0.812,0.0,0.2503349781036377,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.01,500,0.0313725,9831,4.767287120621688e-10,3,0,0.8038,0.0,0.2503349781036377,0.031372517347335815
